2022-01-05T16:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-05T15:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-05T14:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-05T13:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-05T12:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-05T11:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-05T10:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-05T09:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-05T08:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-05T07:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-05T06:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-05T05:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-05T04:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-05T03:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-05T02:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-05T01:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-05T00:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-04T23:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-04T22:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-04T21:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-04T20:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-04T19:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-04T18:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-04T17:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-04T16:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-04T15:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-04T14:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-04T13:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-04T12:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-04T11:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-04T10:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-04T09:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-04T08:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
2022-01-04T07:00:00+00:00;OKBBEAR/USD;0,00000004;0,00000004;0,00000004;0,00000004;0,0
