Timestamp,Open,High,Low,Close,Volume
2021-01-07 00:00:00,0.1936,0.5,0.1429,0.2005,43546164.28
2021-01-08 00:00:00,0.2031,0.239,0.144,0.1844,34163946.86
2021-01-09 00:00:00,0.1825,0.2142,0.1677,0.1891,13372480.02
2021-01-10 00:00:00,0.1894,0.1994,0.162,0.1894,12453590.77
2021-01-11 00:00:00,0.1856,0.1857,0.1323,0.1551,7150911.31
2021-01-12 00:00:00,0.155,0.1779,0.1475,0.1648,5393541.15
2021-01-13 00:00:00,0.1649,0.19,0.156,0.1772,7622950.18
2021-01-14 00:00:00,0.1771,0.2454,0.1726,0.2333,21778405.79
2021-01-15 00:00:00,0.234,0.26,0.1819,0.2012,20145216.42
2021-01-16 00:00:00,0.2012,0.2195,0.1867,0.1955,7801789.79
2021-01-17 00:00:00,0.1956,0.1985,0.1691,0.1841,8867777.19
2021-01-18 00:00:00,0.1843,0.2075,0.1785,0.1966,7803965.28
2021-01-19 00:00:00,0.1965,0.2095,0.1761,0.182,6323423.89
2021-01-20 00:00:00,0.182,0.1876,0.1741,0.181,2804863.64
2021-01-21 00:00:00,0.1819,0.1831,0.1582,0.1594,3575366.37
2021-01-22 00:00:00,0.1586,0.174,0.1458,0.1658,3634634.28
2021-01-23 00:00:00,0.1657,0.1745,0.163,0.1675,2589940.67
2021-01-24 00:00:00,0.167,0.1716,0.1269,0.1636,3093122.76
2021-01-25 00:00:00,0.1624,0.1808,0.1624,0.164,3207242.61
2021-01-26 00:00:00,0.164,0.1664,0.1516,0.1601,3402645.93
2021-01-27 00:00:00,0.1603,0.1633,0.1465,0.1508,1694197.85
2021-01-28 00:00:00,0.1509,0.1786,0.1481,0.1717,4492025.44
2021-01-29 00:00:00,0.1718,0.1815,0.1563,0.1636,4919277.98
2021-01-30 00:00:00,0.1635,0.1693,0.1603,0.1667,1856659.26
2021-01-31 00:00:00,0.1666,0.1673,0.1597,0.1611,1744893.54
2021-02-01 00:00:00,0.161,0.1696,0.1555,0.1635,2961256.34
2021-02-02 00:00:00,0.1637,0.1768,0.1629,0.1701,3217004.66
2021-02-03 00:00:00,0.1701,0.191,0.1692,0.184,8582167.38
2021-02-04 00:00:00,0.1851,0.1946,0.1729,0.1836,6767618.5
2021-02-05 00:00:00,0.1839,0.1989,0.182,0.1921,8864639.46
2021-02-06 00:00:00,0.1922,0.2664,0.1886,0.2371,39923318.72
2021-02-07 00:00:00,0.2371,0.285,0.2068,0.215,53100507.05
2021-02-08 00:00:00,0.2166,0.2652,0.2086,0.251,21713768.03
2021-02-09 00:00:00,0.2514,0.2758,0.2488,0.2587,14772773.74
2021-02-10 00:00:00,0.2591,0.294,0.24,0.2659,17392582.88
2021-02-11 00:00:00,0.2639,0.31,0.245,0.3017,14836862.85
2021-02-12 00:00:00,0.3017,0.335,0.293,0.3194,13390651.4
2021-02-13 00:00:00,0.3197,0.34,0.305,0.327,10939937.6
2021-02-14 00:00:00,0.327,0.3349,0.276,0.284,12161595.22
2021-02-15 00:00:00,0.284,0.3182,0.2698,0.2837,7972859.25
2021-02-16 00:00:00,0.2845,0.309,0.278,0.2889,5010912.65
2021-02-17 00:00:00,0.2889,0.3223,0.2885,0.3065,5729413.05
2021-02-18 00:00:00,0.306,0.34,0.3045,0.328,8398723.07
2021-02-19 00:00:00,0.328,0.37,0.3215,0.3548,7535463.93
2021-02-20 00:00:00,0.3547,0.3641,0.3008,0.3076,10090519.12
2021-02-21 00:00:00,0.3077,0.3369,0.3007,0.3121,4093157.46
2021-02-22 00:00:00,0.312,0.3149,0.2408,0.275,7629135.05
2021-02-23 00:00:00,0.2755,0.2793,0.1829,0.2288,9093909.03
2021-02-24 00:00:00,0.2288,0.2573,0.2243,0.2502,3201635.87
2021-02-25 00:00:00,0.2512,0.2861,0.2369,0.2375,4958820.12
2021-02-26 00:00:00,0.2392,0.263,0.2308,0.2376,4443474.95
2021-02-27 00:00:00,0.2376,0.2583,0.2335,0.2437,2184222.59
2021-02-28 00:00:00,0.2437,0.26,0.2158,0.2402,4370824.35
2021-03-01 00:00:00,0.2403,0.27,0.2364,0.2648,2812423.18
2021-03-02 00:00:00,0.2647,0.271,0.2452,0.2522,1855342.94
2021-03-03 00:00:00,0.2532,0.2835,0.2522,0.2702,2585344.41
2021-03-04 00:00:00,0.2702,0.277,0.2553,0.2591,3519217.88
2021-03-05 00:00:00,0.2586,0.2792,0.2464,0.2661,7270315.49
2021-03-06 00:00:00,0.2661,0.285,0.2576,0.2773,4101014.24
2021-03-07 00:00:00,0.2774,0.2998,0.2722,0.284,4799672.33
2021-03-08 00:00:00,0.2837,0.3,0.2761,0.2989,3035123.81
2021-03-09 00:00:00,0.2989,0.325,0.2958,0.3109,3989321.04
2021-03-10 00:00:00,0.3109,0.3325,0.296,0.317,3989729.91
2021-03-11 00:00:00,0.3187,0.3315,0.2976,0.3273,5772997.22
2021-03-12 00:00:00,0.3273,0.3334,0.3057,0.3198,4015203.6
2021-03-13 00:00:00,0.3199,0.3464,0.3118,0.3448,6277616.86
2021-03-14 00:00:00,0.3446,0.3588,0.3321,0.3368,9515821.54
2021-03-15 00:00:00,0.3367,0.3498,0.3007,0.3173,4821407.84
2021-03-16 00:00:00,0.3174,0.3338,0.2882,0.3187,9529664.13
2021-03-17 00:00:00,0.3188,0.34,0.3153,0.3332,4507000.41
2021-03-18 00:00:00,0.3335,0.3646,0.3319,0.342,6909463.7
2021-03-19 00:00:00,0.343,0.3554,0.3305,0.3355,4584622.91
2021-03-20 00:00:00,0.3356,0.358,0.3346,0.3365,4052513.6
2021-03-21 00:00:00,0.3365,0.35,0.3164,0.3215,4705814.02
2021-03-22 00:00:00,0.3215,0.3397,0.3058,0.3126,3760257.08
2021-03-23 00:00:00,0.3127,0.3238,0.3014,0.3139,2000880.28
2021-03-24 00:00:00,0.3138,0.3418,0.3056,0.309,2817860.3
2021-03-25 00:00:00,0.3103,0.3197,0.2915,0.3012,2337339.63
2021-03-26 00:00:00,0.3026,0.33,0.2999,0.3261,2273638.75
2021-03-27 00:00:00,0.3265,0.339,0.32,0.3358,3270249.2
2021-03-28 00:00:00,0.3346,0.343,0.3222,0.3281,2811966.38
2021-03-29 00:00:00,0.3283,0.3513,0.3247,0.3445,3050995.31
2021-03-30 00:00:00,0.3462,0.3563,0.34,0.3503,3732745.89
2021-03-31 00:00:00,0.3504,0.3718,0.3359,0.351,7662029.68
2021-04-01 00:00:00,0.3513,0.3567,0.3435,0.3489,4558809.66
2021-04-02 00:00:00,0.3488,0.3604,0.3423,0.3462,4632172.04
2021-04-03 00:00:00,0.3466,0.36,0.3378,0.3389,5307276.53
2021-04-04 00:00:00,0.3388,0.36,0.3334,0.3532,4716261.33
2021-04-05 00:00:00,0.3535,0.3616,0.3382,0.3521,7906236.46
2021-04-06 00:00:00,0.3523,0.415,0.3522,0.3788,36336920.08
2021-04-07 00:00:00,0.3756,0.3841,0.3184,0.33,12585785.82
2021-04-08 00:00:00,0.3317,0.3592,0.3215,0.354,6169945.54
2021-04-09 00:00:00,0.354,0.3658,0.3422,0.3458,4328045.07
2021-04-10 00:00:00,0.3459,0.3803,0.3424,0.358,7723117.76
2021-04-11 00:00:00,0.3587,0.4,0.3536,0.3911,15584249.58
2021-04-12 00:00:00,0.3911,0.46,0.3832,0.443,31630618.66
2021-04-13 00:00:00,0.4429,0.4529,0.3814,0.4053,21035022.37
2021-04-14 00:00:00,0.4051,0.4067,0.355,0.3787,9691100.57
2021-04-15 00:00:00,0.38,0.3972,0.3733,0.3882,6420286.12
2021-04-16 00:00:00,0.388,0.3997,0.3555,0.357,8629558.55
2021-04-17 00:00:00,0.357,0.395,0.3541,0.3665,5971791.1
2021-04-18 00:00:00,0.3665,0.3706,0.2995,0.329,10898313.0
2021-04-19 00:00:00,0.329,0.3448,0.2908,0.2914,5597391.81
2021-04-20 00:00:00,0.2917,0.3325,0.273,0.3218,6568986.94
2021-04-21 00:00:00,0.3218,0.3239,0.2905,0.2924,3711501.82
2021-04-22 00:00:00,0.2911,0.3208,0.2811,0.2925,4178279.83
2021-04-23 00:00:00,0.2926,0.298,0.26,0.2852,5532126.08
2021-04-24 00:00:00,0.2863,0.287,0.26,0.2679,2246562.85
2021-04-25 00:00:00,0.2676,0.283,0.2524,0.2668,2097633.46
2021-04-26 00:00:00,0.2659,0.3319,0.2656,0.3024,6062431.79
2021-04-27 00:00:00,0.3023,0.34,0.2972,0.3228,17331617.18
2021-04-28 00:00:00,0.3227,0.345,0.2952,0.3199,15329136.73
2021-04-29 00:00:00,0.3199,0.329,0.3031,0.3177,11532222.81
2021-04-30 00:00:00,0.3179,0.336,0.3124,0.3303,15673488.87
2021-05-01 00:00:00,0.3303,0.3798,0.3259,0.3474,48336971.14
2021-05-02 00:00:00,0.3474,0.355,0.3251,0.3462,46753744.15
2021-05-03 00:00:00,0.3462,0.3633,0.3206,0.3275,36416817.68
2021-05-04 00:00:00,0.3275,0.3355,0.2961,0.2967,35269427.13
2021-05-05 00:00:00,0.2964,0.34,0.2949,0.3313,29689276.75
2021-05-06 00:00:00,0.3314,0.3537,0.3187,0.3307,14194568.67
2021-05-07 00:00:00,0.3304,0.335,0.3095,0.3166,6275002.7
2021-05-08 00:00:00,0.3177,0.3468,0.3167,0.3255,7655027.14
2021-05-09 00:00:00,0.325,0.3489,0.3186,0.3352,7698197.49
2021-05-10 00:00:00,0.3351,0.358,0.3023,0.3184,9082856.18
2021-05-11 00:00:00,0.3178,0.3287,0.2969,0.317,6176518.51
2021-05-12 00:00:00,0.318,0.3198,0.2654,0.2657,8973163.27
2021-05-13 00:00:00,0.2659,0.2747,0.2529,0.2614,8264690.83
