Timestamp,Open,High,Low,Close,Volume
2022-06-25 00:00:00,0.0382,0.0391,0.0355,0.0373,59905101.3
2022-06-26 00:00:00,0.0373,0.0407,0.0352,0.0352,53448728.5
2022-06-27 00:00:00,0.0352,0.0371,0.0334,0.0344,32180912.5
2022-06-28 00:00:00,0.0346,0.0354,0.0327,0.033,27486622.0
2022-06-29 00:00:00,0.033,0.0375,0.0322,0.0346,97401797.9
2022-06-30 00:00:00,0.0346,0.0355,0.0307,0.0335,42199420.7
2022-07-01 00:00:00,0.0335,0.0388,0.0323,0.0332,68608713.9
2022-07-02 00:00:00,0.0331,0.0379,0.0328,0.0344,50687960.4
2022-07-03 00:00:00,0.0344,0.036,0.034,0.0349,18665105.8
2022-07-04 00:00:00,0.0349,0.036,0.0344,0.0354,23710193.8
2022-07-05 00:00:00,0.0354,0.037,0.0336,0.035,33137276.7
2022-07-06 00:00:00,0.035,0.0453,0.0346,0.038,245641288.7
2022-07-07 00:00:00,0.0382,0.061,0.038,0.05,530811786.7
2022-07-08 00:00:00,0.05,0.0527,0.0435,0.0439,55373219.4
2022-07-09 00:00:00,0.0439,0.0498,0.0435,0.0449,36903423.1
2022-07-10 00:00:00,0.0449,0.0493,0.0435,0.0454,35724953.0
2022-07-11 00:00:00,0.0454,0.0489,0.0422,0.0424,46641877.0
2022-07-12 00:00:00,0.0425,0.0478,0.0418,0.0451,41095548.1
2022-07-13 00:00:00,0.0453,0.061,0.044,0.0454,355310245.6
2022-07-14 00:00:00,0.0455,0.0462,0.042,0.044,50557604.2
2022-07-15 00:00:00,0.044,0.0463,0.0429,0.0443,21731950.3
2022-07-16 00:00:00,0.0443,0.046,0.0434,0.0448,20982800.6
2022-07-17 00:00:00,0.0449,0.0456,0.0426,0.0436,17092784.4
2022-07-18 00:00:00,0.0436,0.0478,0.0434,0.0451,34396399.9
2022-07-19 00:00:00,0.045,0.0463,0.044,0.0453,19059865.7
2022-07-20 00:00:00,0.0453,0.0474,0.0428,0.0435,59953126.3
2022-07-21 00:00:00,0.0435,0.0495,0.0431,0.0458,91347552.7
2022-07-22 00:00:00,0.0457,0.0462,0.0435,0.0437,39461363.8
2022-07-23 00:00:00,0.0436,0.0449,0.0423,0.0436,19546544.4
2022-07-24 00:00:00,0.0436,0.044,0.0426,0.0428,11785756.0
2022-07-25 00:00:00,0.043,0.043,0.0389,0.0398,37912389.7
2022-07-26 00:00:00,0.0398,0.0401,0.0376,0.0393,13847633.1
2022-07-27 00:00:00,0.0393,0.0468,0.0388,0.0425,66565159.8
2022-07-28 00:00:00,0.0424,0.0446,0.0411,0.0435,38451188.6
2022-07-29 00:00:00,0.0434,0.045,0.0421,0.0431,34609747.6
2022-07-30 00:00:00,0.0429,0.0448,0.0423,0.0432,26425625.6
2022-07-31 00:00:00,0.0432,0.046,0.0429,0.0431,35911939.9
2022-08-01 00:00:00,0.0431,0.0441,0.0421,0.043,22340650.3
2022-08-02 00:00:00,0.043,0.044,0.0415,0.0421,28758770.0
2022-08-03 00:00:00,0.042,0.0439,0.0417,0.0426,26592370.3
2022-08-04 00:00:00,0.0426,0.0435,0.0414,0.0425,16815683.3
2022-08-05 00:00:00,0.0425,0.0437,0.0422,0.0434,19286910.2
2022-08-06 00:00:00,0.0434,0.0439,0.0429,0.043,14648693.9
2022-08-07 00:00:00,0.0429,0.0437,0.0424,0.043,12293975.7
2022-08-08 00:00:00,0.043,0.0479,0.0429,0.0445,62227134.9
2022-08-09 00:00:00,0.0445,0.0456,0.0417,0.0429,24178889.6
2022-08-10 00:00:00,0.043,0.0489,0.0415,0.0444,53791048.2
2022-08-11 00:00:00,0.0443,0.0449,0.0434,0.0436,14684145.1
2022-08-12 00:00:00,0.0435,0.048,0.0431,0.0449,62476884.4
2022-08-13 00:00:00,0.045,0.0463,0.0444,0.0445,24404430.8
2022-08-14 00:00:00,0.0446,0.047,0.0437,0.0441,30116553.3
2022-08-15 00:00:00,0.0442,0.0452,0.0423,0.0431,18424224.4
2022-08-16 00:00:00,0.0431,0.0442,0.0418,0.043,14207943.8
2022-08-17 00:00:00,0.0429,0.0437,0.0405,0.041,13379958.3
2022-08-18 00:00:00,0.041,0.042,0.0401,0.0401,10618353.8
2022-08-19 00:00:00,0.0401,0.0401,0.035,0.0356,24502042.3
2022-08-20 00:00:00,0.0357,0.0387,0.0356,0.0362,16180527.0
2022-08-21 00:00:00,0.0362,0.0379,0.0362,0.0374,5670666.3
2022-08-22 00:00:00,0.0374,0.0374,0.0352,0.0364,7182482.6
2022-08-23 00:00:00,0.0364,0.0371,0.0354,0.0368,7451712.1
2022-08-24 00:00:00,0.0368,0.038,0.0356,0.0366,15093622.3
2022-08-25 00:00:00,0.0367,0.0374,0.0364,0.0368,9124511.5
2022-08-26 00:00:00,0.0367,0.0371,0.0336,0.0337,11585013.3
2022-08-27 00:00:00,0.0336,0.034,0.0328,0.0335,8586504.6
2022-08-28 00:00:00,0.0335,0.0338,0.0312,0.0314,7877942.7
2022-08-29 00:00:00,0.0314,0.0331,0.03,0.033,13173375.3
2022-08-30 00:00:00,0.033,0.034,0.0312,0.032,11053585.0
2022-08-31 00:00:00,0.032,0.0579,0.0316,0.0416,624800631.3
2022-09-01 00:00:00,0.0416,0.045,0.0363,0.0366,450715927.4
2022-09-02 00:00:00,0.0366,0.0457,0.0364,0.0382,149801431.2
2022-09-03 00:00:00,0.0382,0.0383,0.0334,0.0356,39010482.8
2022-09-04 00:00:00,0.0356,0.0365,0.0344,0.0349,36379496.1
2022-09-05 00:00:00,0.0349,0.036,0.0329,0.0355,25207347.8
2022-09-06 00:00:00,0.0355,0.0362,0.0328,0.0329,37854228.2
2022-09-07 00:00:00,0.0329,0.035,0.0327,0.0343,20333196.1
2022-09-08 00:00:00,0.0344,0.0345,0.0331,0.0336,26625965.0
2022-09-09 00:00:00,0.0337,0.0364,0.0336,0.035,42034242.2
2022-09-10 00:00:00,0.035,0.0386,0.0348,0.0362,56456345.1
2022-09-11 00:00:00,0.0363,0.0366,0.0344,0.0349,27726332.1
2022-09-12 00:00:00,0.0348,0.0359,0.0346,0.0355,23423132.2
2022-09-13 00:00:00,0.0355,0.0409,0.0326,0.0328,71865737.7
2022-09-14 00:00:00,0.0328,0.0337,0.032,0.033,16283506.1
2022-09-15 00:00:00,0.033,0.033,0.0313,0.0318,16987734.1
2022-09-16 00:00:00,0.0318,0.0321,0.0308,0.0315,15416778.1
2022-09-17 00:00:00,0.0314,0.0363,0.0314,0.0329,41880776.7
2022-09-18 00:00:00,0.0329,0.0338,0.0298,0.0299,17815494.4
2022-09-19 00:00:00,0.0298,0.0311,0.0291,0.0305,18673566.5
2022-09-20 00:00:00,0.0305,0.0354,0.0302,0.0308,81171177.0
2022-09-21 00:00:00,0.0309,0.0316,0.0292,0.03,22088510.0
2022-09-22 00:00:00,0.0299,0.0316,0.0297,0.031,14309889.3
2022-09-23 00:00:00,0.031,0.0316,0.0298,0.0309,18760972.1
2022-09-24 00:00:00,0.0309,0.0312,0.0303,0.0304,6668442.1
2022-09-25 00:00:00,0.0305,0.0309,0.03,0.0304,5281107.4
2022-09-26 00:00:00,0.0304,0.0308,0.0288,0.0308,11077514.9
2022-09-27 00:00:00,0.0308,0.0316,0.03,0.0303,14256742.7
2022-09-28 00:00:00,0.0302,0.0314,0.0292,0.0305,18375491.0
2022-09-29 00:00:00,0.0306,0.031,0.0298,0.0308,11598068.0
2022-09-30 00:00:00,0.0308,0.0435,0.0299,0.0348,401134238.5
2022-10-01 00:00:00,0.0348,0.0365,0.0316,0.0318,95057128.9
2022-10-02 00:00:00,0.0317,0.0321,0.0304,0.0306,41244947.7
2022-10-03 00:00:00,0.0307,0.0317,0.03,0.0309,24167758.3
2022-10-04 00:00:00,0.0309,0.0313,0.0304,0.031,19624168.6
2022-10-05 00:00:00,0.031,0.0346,0.0305,0.031,85750611.0
2022-10-06 00:00:00,0.031,0.0332,0.0309,0.031,30303853.3
2022-10-07 00:00:00,0.031,0.0318,0.0305,0.0307,13856612.2
2022-10-08 00:00:00,0.0307,0.0313,0.0302,0.0305,8069892.5
2022-10-09 00:00:00,0.0304,0.0311,0.03,0.0307,9175443.2
2022-10-10 00:00:00,0.0306,0.034,0.0301,0.0302,44095994.9
2022-10-11 00:00:00,0.0302,0.0303,0.0288,0.0295,20678024.7
2022-10-12 00:00:00,0.0295,0.0303,0.0292,0.0297,10322842.9
2022-10-13 00:00:00,0.0297,0.0297,0.0271,0.0291,13663825.6
2022-10-14 00:00:00,0.0291,0.0303,0.0287,0.0292,15090039.4
2022-10-15 00:00:00,0.0292,0.0317,0.0291,0.0303,41521379.6
2022-10-16 00:00:00,0.0303,0.0358,0.03,0.0306,118910182.2
2022-10-17 00:00:00,0.0305,0.0319,0.0304,0.031,22373908.5
2022-10-18 00:00:00,0.031,0.0311,0.0294,0.0303,19753367.8
2022-10-19 00:00:00,0.0303,0.0303,0.029,0.0291,15665289.9
2022-10-20 00:00:00,0.0291,0.0296,0.0284,0.029,12434083.3
2022-10-21 00:00:00,0.029,0.0312,0.0282,0.0294,23318242.6
2022-10-22 00:00:00,0.0294,0.0326,0.0293,0.0304,61235753.7
2022-10-23 00:00:00,0.0304,0.0339,0.0301,0.0308,69957147.4
2022-10-24 00:00:00,0.0308,0.0341,0.0304,0.0313,94841999.8
2022-10-25 00:00:00,0.0313,0.032,0.0304,0.0314,28507364.2
2022-10-26 00:00:00,0.0314,0.0323,0.0311,0.0318,15110274.7
2022-10-27 00:00:00,0.0318,0.0325,0.0311,0.0313,16829021.7
2022-10-28 00:00:00,0.0313,0.032,0.0305,0.0316,14555462.5
2022-10-29 00:00:00,0.0316,0.0326,0.0312,0.0317,21079222.9
2022-10-30 00:00:00,0.0317,0.0326,0.0313,0.0316,13591688.6
2022-10-31 00:00:00,0.0316,0.0318,0.031,0.0313,10213604.7
2022-11-01 00:00:00,0.0313,0.032,0.031,0.0311,12631137.2
2022-11-02 00:00:00,0.0312,0.0323,0.0304,0.0307,28514666.2
2022-11-03 00:00:00,0.0307,0.033,0.0306,0.0319,48106132.7
2022-11-04 00:00:00,0.032,0.0333,0.0318,0.0331,25903753.2
2022-11-05 00:00:00,0.0331,0.0345,0.033,0.0335,33642225.9
2022-11-06 00:00:00,0.0335,0.0352,0.0317,0.0319,38228999.4
2022-11-07 00:00:00,0.0319,0.0323,0.0312,0.0318,18165340.6
2022-11-08 00:00:00,0.0318,0.032,0.0241,0.027,39770521.9
2022-11-09 00:00:00,0.027,0.0271,0.0185,0.0193,49496984.8
2022-11-10 00:00:00,0.0193,0.0246,0.0192,0.0239,30109481.6
2022-11-11 00:00:00,0.024,0.0244,0.0222,0.0232,19408788.2
2022-11-12 00:00:00,0.0231,0.0233,0.022,0.0225,12065288.2
2022-11-13 00:00:00,0.0226,0.0232,0.0218,0.0223,14555221.8
2022-11-14 00:00:00,0.0223,0.0227,0.0206,0.0221,15703790.1
2022-11-15 00:00:00,0.0221,0.0238,0.0218,0.0227,30674389.0
2022-11-16 00:00:00,0.0227,0.0249,0.0224,0.0234,38071879.8
2022-11-17 00:00:00,0.0233,0.0235,0.0226,0.0229,14689582.0
2022-11-18 00:00:00,0.0228,0.0249,0.0228,0.0231,16578337.1
2022-11-19 00:00:00,0.0231,0.0238,0.0227,0.0235,7725261.0
2022-11-20 00:00:00,0.0236,0.0255,0.0233,0.0234,34999795.2
2022-11-21 00:00:00,0.0234,0.0235,0.0215,0.0221,32203235.2
2022-11-22 00:00:00,0.0222,0.0247,0.0217,0.0242,34863352.1
2022-11-23 00:00:00,0.0244,0.0285,0.0235,0.0246,118887281.8
2022-11-24 00:00:00,0.0246,0.025,0.0235,0.024,28470009.2
2022-11-25 00:00:00,0.0239,0.024,0.023,0.0235,18427522.9
2022-11-26 00:00:00,0.0235,0.0254,0.0234,0.0244,37582376.7
2022-11-27 00:00:00,0.0244,0.0272,0.0243,0.0247,71222369.2
2022-11-28 00:00:00,0.0248,0.028,0.0234,0.0247,101216281.1
2022-11-29 00:00:00,0.0247,0.0262,0.0245,0.0251,37487286.2
2022-11-30 00:00:00,0.0252,0.0264,0.0252,0.0263,28857201.1
2022-12-01 00:00:00,0.0262,0.0333,0.0257,0.0261,166037516.6
2022-12-02 00:00:00,0.026,0.0269,0.0253,0.0263,29491935.1
2022-12-03 00:00:00,0.0263,0.0268,0.0256,0.0258,14984020.9
2022-12-04 00:00:00,0.0258,0.0262,0.0256,0.0261,10949111.6
2022-12-05 00:00:00,0.026,0.0266,0.0253,0.0256,16837220.7
2022-12-06 00:00:00,0.0256,0.0257,0.0245,0.025,31534880.8
2022-12-07 00:00:00,0.0251,0.0252,0.0235,0.024,18474193.9
2022-12-08 00:00:00,0.0241,0.0255,0.0236,0.0248,25466124.2
2022-12-09 00:00:00,0.0248,0.028,0.0247,0.0255,97692446.5
2022-12-10 00:00:00,0.0255,0.0276,0.0249,0.0257,64107589.0
2022-12-11 00:00:00,0.0257,0.0272,0.0251,0.0252,36286161.3
2022-12-12 00:00:00,0.0252,0.0257,0.0245,0.0248,20187508.9
2022-12-13 00:00:00,0.0248,0.0255,0.0231,0.0251,17343198.3
2022-12-14 00:00:00,0.025,0.0254,0.0244,0.0248,7116515.7
2022-12-15 00:00:00,0.0247,0.0248,0.0239,0.024,5781091.8
2022-12-16 00:00:00,0.0241,0.0245,0.0208,0.0212,18824823.6
2022-12-17 00:00:00,0.0213,0.0226,0.0208,0.0223,16901880.3
2022-12-18 00:00:00,0.0223,0.0229,0.0221,0.0225,7720571.0
2022-12-19 00:00:00,0.0226,0.0228,0.0203,0.0206,10871683.7
2022-12-20 00:00:00,0.0206,0.0223,0.0206,0.022,11079514.8
2022-12-21 00:00:00,0.022,0.0225,0.0218,0.0222,7032036.1
2022-12-22 00:00:00,0.0222,0.0228,0.0217,0.0222,6293804.8
2022-12-23 00:00:00,0.0222,0.0226,0.0221,0.0225,4066298.8
2022-12-24 00:00:00,0.0226,0.0251,0.0224,0.0226,33781651.5
2022-12-25 00:00:00,0.0226,0.0238,0.0221,0.0221,17618599.0
2022-12-26 00:00:00,0.0221,0.0231,0.0221,0.0224,13704758.3
2022-12-27 00:00:00,0.0225,0.0226,0.0219,0.0221,4789209.3
2022-12-28 00:00:00,0.0221,0.0284,0.0214,0.0229,132915435.8
2022-12-29 00:00:00,0.0231,0.0232,0.022,0.0223,18558455.8
2022-12-30 00:00:00,0.0223,0.0259,0.0222,0.0226,52694271.6
2022-12-31 00:00:00,0.0227,0.0241,0.0225,0.023,16137869.5
2023-01-01 00:00:00,0.0229,0.023,0.0223,0.0227,6009011.6
2023-01-02 00:00:00,0.0227,0.023,0.0222,0.0226,15668502.2
2023-01-03 00:00:00,0.0226,0.0227,0.0221,0.0226,7990117.2
2023-01-04 00:00:00,0.0226,0.023,0.0225,0.0227,8034680.1
2023-01-05 00:00:00,0.0228,0.0229,0.022,0.0222,11605260.5
2023-01-06 00:00:00,0.0222,0.0225,0.0218,0.0224,10851699.2
2023-01-07 00:00:00,0.0225,0.0227,0.0221,0.0222,6841129.2
2023-01-08 00:00:00,0.0222,0.0228,0.022,0.0228,6169457.8
2023-01-09 00:00:00,0.0228,0.0238,0.0224,0.0228,30432729.4
2023-01-10 00:00:00,0.0228,0.0236,0.0227,0.0233,18077262.2
2023-01-11 00:00:00,0.0232,0.0239,0.023,0.0238,15670537.4
2023-01-12 00:00:00,0.0239,0.0248,0.0235,0.0243,27538687.2
2023-01-13 00:00:00,0.0243,0.0252,0.0239,0.0251,15044227.6
2023-01-14 00:00:00,0.0252,0.0266,0.0248,0.0262,24846198.8
2023-01-15 00:00:00,0.0261,0.0263,0.0251,0.026,13252065.9
2023-01-16 00:00:00,0.0259,0.027,0.0255,0.0266,19422959.7
2023-01-17 00:00:00,0.0266,0.0276,0.0264,0.0266,24038981.5
2023-01-18 00:00:00,0.0267,0.0269,0.0237,0.0247,32385310.1
2023-01-19 00:00:00,0.0247,0.0259,0.0247,0.0258,12027350.7
2023-01-20 00:00:00,0.0258,0.0271,0.0252,0.0269,17445536.5
2023-01-21 00:00:00,0.027,0.0275,0.0263,0.0264,16994517.6
2023-01-22 00:00:00,0.0263,0.0274,0.026,0.0267,17303813.8
2023-01-23 00:00:00,0.0267,0.0284,0.0265,0.028,32739711.4
2023-01-24 00:00:00,0.0279,0.0285,0.026,0.0265,32279473.3
2023-01-25 00:00:00,0.0265,0.028,0.0257,0.0272,22536740.5
2023-01-26 00:00:00,0.0273,0.0289,0.0268,0.0279,26862474.4
2023-01-27 00:00:00,0.028,0.0297,0.0271,0.0289,38875384.1
2023-01-28 00:00:00,0.0288,0.0348,0.0286,0.0295,99393227.6
2023-01-29 00:00:00,0.0295,0.0299,0.029,0.0295,43642244.6
2023-01-30 00:00:00,0.0295,0.0298,0.0272,0.0275,38038321.7
2023-01-31 00:00:00,0.0276,0.0289,0.0275,0.0287,20564455.2
2023-02-01 00:00:00,0.0287,0.0299,0.0277,0.0293,41521675.5
2023-02-02 00:00:00,0.0294,0.0307,0.0293,0.0295,28283516.2
2023-02-03 00:00:00,0.0296,0.0304,0.0293,0.0302,16139084.8
2023-02-04 00:00:00,0.0301,0.0304,0.0294,0.0296,27142437.3
2023-02-05 00:00:00,0.0295,0.0304,0.028,0.0288,29825444.9
2023-02-06 00:00:00,0.0288,0.0326,0.0282,0.0301,68818053.5
2023-02-07 00:00:00,0.0303,0.0542,0.0301,0.0406,767879484.3
2023-02-08 00:00:00,0.0407,0.0413,0.0341,0.0358,140292873.8
2023-02-09 00:00:00,0.0358,0.0377,0.0303,0.0312,98347517.9
2023-02-10 00:00:00,0.0312,0.0321,0.0303,0.0317,38739654.0
2023-02-11 00:00:00,0.0318,0.035,0.0316,0.0332,60662524.3
2023-02-12 00:00:00,0.0332,0.0353,0.0318,0.0325,37374031.3
2023-02-13 00:00:00,0.0325,0.0329,0.0299,0.0313,24595726.6
2023-02-14 00:00:00,0.0312,0.0416,0.0307,0.0353,279698893.5
2023-02-15 00:00:00,0.0353,0.0422,0.0352,0.0376,200402765.5
2023-02-16 00:00:00,0.0376,0.0416,0.0358,0.0363,146685753.1
2023-02-17 00:00:00,0.0363,0.0389,0.0359,0.0375,51991804.4
2023-02-18 00:00:00,0.0376,0.0382,0.0365,0.0376,33144941.8
2023-02-19 00:00:00,0.0377,0.0416,0.037,0.038,103794572.9
2023-02-20 00:00:00,0.038,0.0489,0.0372,0.0418,276027813.3
2023-02-21 00:00:00,0.0417,0.0447,0.0387,0.0398,147682984.3
2023-02-22 00:00:00,0.0399,0.04,0.0365,0.0381,45567982.5
2023-02-23 00:00:00,0.0381,0.0395,0.0367,0.0387,44726732.7
2023-02-24 00:00:00,0.0387,0.0391,0.0351,0.0358,41514914.9
2023-02-25 00:00:00,0.0359,0.0362,0.0332,0.0346,26554306.6
2023-02-26 00:00:00,0.0346,0.0359,0.0343,0.035,19413966.7
2023-02-27 00:00:00,0.035,0.0358,0.0335,0.0343,26996348.6
2023-02-28 00:00:00,0.0343,0.0357,0.0337,0.034,25788273.4
2023-03-01 00:00:00,0.034,0.0357,0.0338,0.0347,25901006.0
2023-03-02 00:00:00,0.0349,0.0349,0.0324,0.0334,26807620.4
2023-03-03 00:00:00,0.0335,0.0335,0.0305,0.0314,27981561.1
2023-03-04 00:00:00,0.0314,0.0319,0.0303,0.0308,14089449.6
2023-03-05 00:00:00,0.0307,0.0313,0.0305,0.0306,11916320.1
2023-03-06 00:00:00,0.0308,0.0312,0.0304,0.031,14147839.0
2023-03-07 00:00:00,0.031,0.0314,0.0294,0.03,18835152.5
2023-03-08 00:00:00,0.03,0.0385,0.0292,0.0331,278698037.5
2023-03-09 00:00:00,0.0333,0.0357,0.0284,0.0291,171350851.7
2023-03-10 00:00:00,0.029,0.0293,0.0258,0.0277,76410826.6
2023-03-11 00:00:00,0.0277,0.0282,0.0258,0.0267,27220354.3
2023-03-12 00:00:00,0.0269,0.0284,0.0266,0.0284,26292702.8
2023-03-13 00:00:00,0.0284,0.0303,0.0277,0.0296,48798927.7
2023-03-14 00:00:00,0.0296,0.0317,0.0292,0.031,54940058.5
2023-03-15 00:00:00,0.0311,0.0339,0.0296,0.033,128292737.5
2023-03-16 00:00:00,0.0329,0.0334,0.0306,0.03112,50679999.2
2023-03-17 00:00:00,0.03111,0.03262,0.03059,0.0326,27157163.4
2023-03-18 00:00:00,0.0326,0.0333,0.03163,0.03202,28646950.3
2023-03-19 00:00:00,0.03205,0.03506,0.0315,0.03349,54471624.7
2023-03-20 00:00:00,0.03349,0.03399,0.03,0.03112,42821126.6
2023-03-21 00:00:00,0.0311,0.03208,0.03025,0.03172,19759764.2
2023-03-22 00:00:00,0.0317,0.03242,0.02961,0.03033,23665181.2
2023-03-23 00:00:00,0.03033,0.03242,0.03031,0.03206,20152319.1
2023-03-24 00:00:00,0.03206,0.0331,0.03084,0.03113,19861836.5
2023-03-25 00:00:00,0.03113,0.03187,0.03092,0.03155,12409588.7
2023-03-26 00:00:00,0.03154,0.03281,0.03142,0.03198,24526872.2
2023-03-27 00:00:00,0.03192,0.0321,0.02983,0.03067,17102184.3
2023-03-28 00:00:00,0.03067,0.03104,0.02994,0.031,11593700.7
2023-03-29 00:00:00,0.03101,0.03187,0.03091,0.03181,13848169.4
2023-03-30 00:00:00,0.03179,0.0321,0.0301,0.03102,24710829.0
2023-03-31 00:00:00,0.03103,0.03151,0.03052,0.0314,9409115.9
2023-04-01 00:00:00,0.0314,0.03172,0.03081,0.03128,12663550.9
2023-04-02 00:00:00,0.03129,0.03181,0.03065,0.03099,16442954.4
2023-04-03 00:00:00,0.031,0.03198,0.03021,0.03142,25521521.1
2023-04-04 00:00:00,0.03142,0.03195,0.031,0.03174,20552464.3
2023-04-05 00:00:00,0.03162,0.0324,0.0307,0.03148,20209449.6
2023-04-06 00:00:00,0.03153,0.03154,0.0304,0.03113,24307607.3
2023-04-07 00:00:00,0.0312,0.03131,0.03052,0.03091,14265293.7
2023-04-08 00:00:00,0.0309,0.0352,0.0307,0.03175,110411346.9
2023-04-09 00:00:00,0.03179,0.03213,0.03126,0.03161,20093499.4
2023-04-10 00:00:00,0.03163,0.03304,0.03148,0.03267,36833886.9
2023-04-11 00:00:00,0.03269,0.03278,0.03163,0.03194,26170022.8
2023-04-12 00:00:00,0.03195,0.03287,0.03084,0.03184,37492901.8
2023-04-13 00:00:00,0.03181,0.03226,0.03146,0.03219,13844094.7
2023-04-14 00:00:00,0.0322,0.03304,0.03173,0.03257,20096423.5
2023-04-15 00:00:00,0.03257,0.03294,0.03207,0.03274,17227381.7
2023-04-16 00:00:00,0.03273,0.03453,0.03273,0.03358,42320802.7
2023-04-17 00:00:00,0.03362,0.03362,0.03219,0.03261,19509933.8
2023-04-18 00:00:00,0.03261,0.03397,0.03243,0.03344,23899712.7
2023-04-19 00:00:00,0.03344,0.03362,0.0302,0.03056,23427438.2
2023-04-20 00:00:00,0.03056,0.03112,0.02858,0.02922,22164389.9
2023-04-21 00:00:00,0.02922,0.02959,0.0277,0.02785,17745655.0
2023-04-22 00:00:00,0.02783,0.02862,0.0273,0.02856,11138917.5
2023-04-23 00:00:00,0.02853,0.02866,0.02731,0.02808,8964255.8
2023-04-24 00:00:00,0.02806,0.02932,0.02761,0.0284,33298463.4
2023-04-25 00:00:00,0.02841,0.02916,0.02756,0.02841,17284384.7
2023-04-26 00:00:00,0.02841,0.02928,0.02702,0.02794,21060588.1
2023-04-27 00:00:00,0.02793,0.02851,0.02772,0.02831,11682363.5
2023-04-28 00:00:00,0.02831,0.02847,0.02746,0.0279,14964560.3
2023-04-29 00:00:00,0.0279,0.0289,0.02788,0.02835,12355196.6
2023-04-30 00:00:00,0.02829,0.02869,0.02785,0.02786,7761148.4
