Timestamp,Open,High,Low,Close,Volume
2020-09-04 00:00:00,0.7063,1.3,0.6517,0.8183,4450694.4
2020-09-05 00:00:00,0.8114,0.855,0.5502,0.6371,3914855.7
2020-09-06 00:00:00,0.639,0.8092,0.615,0.781,2731454.97
2020-09-07 00:00:00,0.7777,0.8118,0.6222,0.7221,2623376.57
2020-09-08 00:00:00,0.7178,0.7625,0.6503,0.6969,2507920.3
2020-09-09 00:00:00,0.6953,0.7636,0.6541,0.7274,2395211.17
2020-09-10 00:00:00,0.7302,0.8252,0.7022,0.7229,2328015.82
2020-09-11 00:00:00,0.7287,0.7628,0.6624,0.7486,2615911.74
2020-09-12 00:00:00,0.7476,0.8087,0.695,0.7998,3840095.06
2020-09-13 00:00:00,0.7986,0.8023,0.6534,0.7064,3832413.85
2020-09-14 00:00:00,0.7082,0.7138,0.629,0.6429,4410993.24
2020-09-15 00:00:00,0.6429,0.65,0.5265,0.5823,4808512.58
2020-09-16 00:00:00,0.5814,0.6429,0.54,0.592,5647333.79
2020-09-17 00:00:00,0.5914,0.61,0.4609,0.5171,7198135.72
2020-09-18 00:00:00,0.5145,0.551,0.4981,0.5241,3339362.72
2020-09-19 00:00:00,0.5239,0.531,0.476,0.4916,2436864.87
2020-09-20 00:00:00,0.4933,0.525,0.435,0.4515,3044102.47
2020-09-21 00:00:00,0.453,0.46,0.3224,0.3844,11905956.9
2020-09-22 00:00:00,0.3844,0.42,0.36,0.3892,4880955.09
2020-09-23 00:00:00,0.3892,0.3924,0.3301,0.3389,4213742.7
2020-09-24 00:00:00,0.3399,0.4053,0.3296,0.3974,5716485.21
2020-09-25 00:00:00,0.398,0.4933,0.3824,0.4844,4558872.25
2020-09-26 00:00:00,0.4845,0.5348,0.447,0.5288,2958461.81
2020-09-27 00:00:00,0.5304,0.6365,0.5,0.6316,6462399.23
2020-09-28 00:00:00,0.6314,0.6363,0.5404,0.5537,5145080.99
2020-09-29 00:00:00,0.5539,0.5809,0.5042,0.531,4187982.55
2020-09-30 00:00:00,0.5308,0.5315,0.4625,0.4848,5230001.54
2020-10-01 00:00:00,0.487,0.5467,0.4566,0.4827,5587497.01
2020-10-02 00:00:00,0.4836,0.4871,0.404,0.4573,5288633.24
2020-10-03 00:00:00,0.459,0.4999,0.4536,0.4592,3736864.7
2020-10-04 00:00:00,0.4566,0.4623,0.431,0.4543,2216882.39
2020-10-05 00:00:00,0.4543,0.47,0.4083,0.4113,2612288.79
2020-10-06 00:00:00,0.4116,0.4138,0.35,0.3835,6146283.14
2020-10-07 00:00:00,0.3812,0.4447,0.3734,0.435,5601375.41
2020-10-08 00:00:00,0.4368,0.48,0.4024,0.4779,3877124.4
2020-10-09 00:00:00,0.4779,0.571,0.47,0.485,8353536.08
2020-10-10 00:00:00,0.4834,0.5812,0.48,0.5361,5217447.2
2020-10-11 00:00:00,0.5351,0.577,0.4998,0.5384,4875297.79
2020-10-12 00:00:00,0.5387,0.604,0.5346,0.582,10474538.12
2020-10-13 00:00:00,0.583,0.62,0.536,0.5773,9489702.64
2020-10-14 00:00:00,0.5775,0.63,0.538,0.558,5938169.02
2020-10-15 00:00:00,0.558,0.558,0.5081,0.5321,3632128.98
2020-10-16 00:00:00,0.5309,0.5414,0.4954,0.4993,1862544.3
2020-10-17 00:00:00,0.4996,0.5281,0.4891,0.5049,1891617.67
2020-10-18 00:00:00,0.5051,0.598,0.5017,0.5701,3154021.86
2020-10-19 00:00:00,0.5708,0.5891,0.5395,0.5599,2401061.91
2020-10-20 00:00:00,0.558,0.5583,0.4635,0.4707,5315437.09
2020-10-21 00:00:00,0.471,0.526,0.4686,0.4899,2653515.09
2020-10-22 00:00:00,0.4897,0.5391,0.4885,0.5155,2110080.02
2020-10-23 00:00:00,0.5157,0.5208,0.4838,0.4988,1238153.67
2020-10-24 00:00:00,0.4984,0.5155,0.488,0.4975,925431.71
