Timestamp,Open,High,Low,Close,Volume
2020-12-11 00:00:00,10.0,11.5,9.662,11.5,15443.65
2020-12-12 00:00:00,11.551,11.552,9.332,10.282,16901.34
2020-12-13 00:00:00,10.058,10.72,7.502,7.625,62677.91
2020-12-14 00:00:00,7.578,8.708,7.353,8.319,70680.82
2020-12-15 00:00:00,8.199,8.94,7.574,8.775,28514.78
2020-12-16 00:00:00,8.789,9.641,5.5,5.658,31903.13
2020-12-17 00:00:00,5.524,6.3,4.551,5.9,36201.28
2020-12-18 00:00:00,6.05,6.462,5.656,5.991,13866.98
2020-12-19 00:00:00,5.989,6.29,5.874,6.188,9215.86
2020-12-20 00:00:00,6.281,6.77,5.988,6.471,6795.37
2020-12-21 00:00:00,6.636,8.2,6.174,7.528,19706.92
2020-12-22 00:00:00,7.633,9.032,7.148,8.071,43855.59
2020-12-23 00:00:00,8.124,17.4,8.112,12.075,72111.09
2020-12-24 00:00:00,11.766,12.548,5.466,6.101,192733.27
2020-12-25 00:00:00,6.221,7.191,5.51,6.764,94062.82
2020-12-26 00:00:00,6.822,7.534,6.517,7.3,21579.17
2020-12-27 00:00:00,7.5,8.488,6.201,7.168,38915.22
2020-12-28 00:00:00,7.502,7.768,6.312,7.414,12386.27
2020-12-29 00:00:00,7.46,9.395,7.139,7.734,63612.18
2020-12-30 00:00:00,7.767,9.3,7.584,8.785,40753.08
2020-12-31 00:00:00,8.902,10.276,8.634,9.509,45066.35
2021-01-01 00:00:00,9.509,9.537,7.336,8.472,35854.26
2021-01-02 00:00:00,8.57,9.3,8.163,9.125,14667.47
2021-01-03 00:00:00,9.24,9.774,7.49,7.915,28591.68
2021-01-04 00:00:00,7.825,8.117,3.819,4.025,384562.94
2021-01-05 00:00:00,4.008,4.805,2.377,2.715,1697032.89
2021-01-06 00:00:00,2.699,2.75,0.365,0.385,79658359.22
2021-01-07 00:00:00,0.384,0.428,0.215,0.304,126591337.41
2021-01-08 00:00:00,0.303,0.426,0.229,0.296,59030914.47
2021-01-09 00:00:00,0.293,0.34,0.221,0.253,21951647.28
2021-01-10 00:00:00,0.25,0.355,0.226,0.289,34411813.27
2021-01-11 00:00:00,0.29,0.534,0.263,0.275,48676211.87
2021-01-12 00:00:00,0.274,0.316,0.192,0.236,58938517.53
2021-01-13 00:00:00,0.24,0.25,0.178,0.187,25258473.59
2021-01-14 00:00:00,0.187,0.216,0.155,0.18,20689918.4
2021-01-15 00:00:00,0.18,0.2399,0.168,0.1858,13126744.0
2021-01-16 00:00:00,0.1838,0.197,0.1432,0.1697,11524645.9
2021-01-17 00:00:00,0.1736,0.1772,0.133,0.1516,9236447.03
2021-01-18 00:00:00,0.1503,0.1627,0.1461,0.1502,3672133.7
2021-01-19 00:00:00,0.1504,0.167,0.1341,0.161,4980369.98
2021-01-20 00:00:00,0.1611,0.1876,0.1569,0.165,4706467.78
2021-01-21 00:00:00,0.1641,0.2322,0.1625,0.2141,3313466.78
2021-01-22 00:00:00,0.2163,0.27,0.1545,0.1691,4120960.29
2021-01-23 00:00:00,0.1718,0.1795,0.1575,0.1713,2988647.29
2021-01-24 00:00:00,0.1711,0.1821,0.1547,0.1695,1155045.42
2021-01-25 00:00:00,0.1691,0.1841,0.1617,0.183,905303.1
2021-01-26 00:00:00,0.185,0.199,0.179,0.182,2636797.32
2021-01-27 00:00:00,0.1829,0.232,0.1812,0.2138,1538501.71
2021-01-28 00:00:00,0.2146,0.2296,0.1111,0.121,9567249.43
2021-01-29 00:00:00,0.1206,0.1232,0.0567,0.0964,129811951.82
2021-01-30 00:00:00,0.0956,0.1063,0.0521,0.0663,57602634.35
2021-01-31 00:00:00,0.068,0.0824,0.062,0.0744,9701569.65
2021-02-01 00:00:00,0.0739,0.0835,0.0446,0.0568,101553706.84
2021-02-02 00:00:00,0.0569,0.059,0.0457,0.0507,14471154.4
2021-02-03 00:00:00,0.0508,0.0551,0.047,0.0486,8795432.09
2021-02-04 00:00:00,0.0484,0.0632,0.0474,0.0569,7030866.11
2021-02-05 00:00:00,0.057,0.0576,0.0425,0.0466,14605555.18
2021-02-06 00:00:00,0.0471,0.0487,0.0343,0.0386,41491001.02
2021-02-07 00:00:00,0.0383,0.0408,0.027,0.0318,120573943.49
2021-02-08 00:00:00,0.0319,0.0335,0.028,0.0294,25019323.03
2021-02-09 00:00:00,0.0295,0.0328,0.028,0.029,14282615.24
2021-02-10 00:00:00,0.0291,0.0314,0.0211,0.025,57341413.16
2021-02-11 00:00:00,0.025,0.02577,0.01784,0.01959,53337697.23
2021-02-12 00:00:00,0.0196,0.0222,0.0126,0.013,98945430.24
2021-02-13 00:00:00,0.01309,0.01318,0.0091,0.01025,600490752.45
2021-02-14 00:00:00,0.01024,0.0136,0.00966,0.01276,258414339.73
2021-02-15 00:00:00,0.0127,0.0192,0.00962,0.0113,353533921.93
2021-02-16 00:00:00,0.0113,0.0122,0.00975,0.01133,207371427.46
2021-02-17 00:00:00,0.01133,0.0128,0.01,0.01074,165106640.45
2021-02-18 00:00:00,0.01071,0.0116,0.00977,0.01093,94293555.48
2021-02-19 00:00:00,0.01091,0.01161,0.00954,0.01019,63092782.69
2021-02-20 00:00:00,0.01023,0.014,0.0092,0.012,135385336.96
2021-02-21 00:00:00,0.0121,0.01274,0.01068,0.01147,91891648.33
2021-02-22 00:00:00,0.01143,0.0193,0.00995,0.01139,233200008.85
