Timestamp,Open,High,Low,Close,Volume
2020-10-26 00:00:00,1.044,1.149,1.027,1.051,683020.329
2020-10-27 00:00:00,1.052,1.12,1.039,1.077,319894.256
2020-10-28 00:00:00,1.08,1.095,0.965,0.983,282634.577
2020-10-29 00:00:00,0.984,0.995,0.859,0.88,362171.313
2020-10-30 00:00:00,0.883,0.896,0.819,0.834,364262.538
2020-10-31 00:00:00,0.833,0.849,0.803,0.834,319190.072
2020-11-01 00:00:00,0.833,0.876,0.781,0.799,524628.652
2020-11-02 00:00:00,0.799,0.839,0.77,0.773,764471.707
2020-11-03 00:00:00,0.771,0.772,0.717,0.733,296836.693
2020-11-04 00:00:00,0.731,0.784,0.686,0.772,419836.365
2020-11-05 00:00:00,0.772,0.91,0.769,0.889,455357.985
2020-11-06 00:00:00,0.891,1.07,0.882,1.06,319467.383
2020-11-07 00:00:00,1.066,1.255,0.95,1.01,587996.121
2020-11-08 00:00:00,1.007,1.256,0.856,1.2,566279.35
2020-11-09 00:00:00,1.195,1.219,1.047,1.087,474253.129
2020-11-10 00:00:00,1.082,1.169,1.072,1.148,207608.924
2020-11-11 00:00:00,1.151,1.2,1.052,1.07,211063.409
2020-11-12 00:00:00,1.07,1.088,0.994,1.051,223132.217
2020-11-13 00:00:00,1.054,1.153,1.046,1.15,216958.144
2020-11-14 00:00:00,1.151,1.231,1.048,1.156,537568.078
2020-11-15 00:00:00,1.157,1.296,1.123,1.166,612191.286
2020-11-16 00:00:00,1.163,1.324,1.143,1.265,503757.123
2020-11-17 00:00:00,1.265,1.479,1.265,1.426,993636.944
2020-11-18 00:00:00,1.426,1.527,1.275,1.469,876467.371
2020-11-19 00:00:00,1.471,1.71,1.45,1.654,961601.107
2020-11-20 00:00:00,1.65,1.832,1.573,1.717,615489.831
2020-11-21 00:00:00,1.721,1.934,1.663,1.816,734033.473
2020-11-22 00:00:00,1.821,1.837,1.522,1.667,548206.244
2020-11-23 00:00:00,1.669,1.895,1.622,1.766,553931.723
2020-11-24 00:00:00,1.767,1.801,1.553,1.641,636210.117
2020-11-25 00:00:00,1.641,1.656,1.46,1.505,484138.815
2020-11-26 00:00:00,1.496,1.517,1.119,1.38,811586.014
2020-11-27 00:00:00,1.375,1.49,1.257,1.324,443077.379
2020-11-28 00:00:00,1.323,1.432,1.28,1.362,237874.922
2020-11-29 00:00:00,1.362,1.41,1.234,1.401,244252.64
2020-11-30 00:00:00,1.401,1.559,1.36,1.427,507567.417
2020-12-01 00:00:00,1.423,1.521,1.334,1.362,460415.462
2020-12-02 00:00:00,1.357,1.449,1.3,1.443,196929.454
2020-12-03 00:00:00,1.442,1.531,1.415,1.491,328065.821
2020-12-04 00:00:00,1.49,1.619,1.471,1.543,625586.197
2020-12-05 00:00:00,1.544,1.654,1.5,1.576,485577.528
2020-12-06 00:00:00,1.576,1.65,1.48,1.498,376773.775
2020-12-07 00:00:00,1.507,1.508,1.343,1.417,464446.157
2020-12-08 00:00:00,1.415,1.442,1.3,1.331,438463.774
2020-12-09 00:00:00,1.319,1.406,1.28,1.363,356079.406
2020-12-10 00:00:00,1.366,1.369,1.255,1.26,261200.426
2020-12-11 00:00:00,1.262,1.262,1.156,1.157,277001.53
2020-12-12 00:00:00,1.157,1.231,1.157,1.192,191524.137
2020-12-13 00:00:00,1.196,1.265,1.17,1.258,226214.465
2020-12-14 00:00:00,1.258,1.294,1.226,1.259,260889.395
2020-12-15 00:00:00,1.259,1.332,1.253,1.297,212759.265
2020-12-16 00:00:00,1.299,1.324,1.232,1.316,316991.925
2020-12-17 00:00:00,1.318,1.336,1.254,1.291,447247.863
2020-12-18 00:00:00,1.287,1.5,1.265,1.47,853186.099
2020-12-19 00:00:00,1.472,1.517,1.392,1.443,438292.586
2020-12-20 00:00:00,1.44,1.475,1.393,1.425,207086.598
2020-12-21 00:00:00,1.423,1.449,1.35,1.421,304286.461
2020-12-22 00:00:00,1.422,1.869,1.411,1.569,2981988.851
2020-12-23 00:00:00,1.569,1.578,1.11,1.22,1059711.766
2020-12-24 00:00:00,1.229,1.426,1.2,1.377,466305.099
2020-12-25 00:00:00,1.383,1.403,1.251,1.279,282021.36
2020-12-26 00:00:00,1.275,1.458,1.257,1.45,423936.532
2020-12-27 00:00:00,1.452,1.66,1.294,1.34,1183379.509
2020-12-28 00:00:00,1.343,1.5,1.315,1.429,568300.49
2020-12-29 00:00:00,1.432,1.464,1.22,1.281,519679.336
2020-12-30 00:00:00,1.284,1.336,1.235,1.265,351442.257
2020-12-31 00:00:00,1.266,1.35,1.232,1.295,261149.204
2021-01-01 00:00:00,1.291,1.435,1.285,1.359,364793.005
2021-01-02 00:00:00,1.355,1.397,1.26,1.292,323050.128
2021-01-03 00:00:00,1.292,1.359,1.22,1.311,388299.058
2021-01-04 00:00:00,1.311,1.455,1.274,1.363,429610.665
2021-01-05 00:00:00,1.363,1.57,1.318,1.481,458603.137
2021-01-06 00:00:00,1.481,1.641,1.35,1.507,982015.197
2021-01-07 00:00:00,1.506,1.521,1.336,1.401,815984.945
2021-01-08 00:00:00,1.402,1.453,1.278,1.43,617093.059
2021-01-09 00:00:00,1.431,1.628,1.404,1.536,981837.503
2021-01-10 00:00:00,1.533,1.62,1.328,1.456,1044925.768
2021-01-11 00:00:00,1.459,1.459,1.181,1.268,953760.867
2021-01-12 00:00:00,1.265,1.398,1.231,1.307,533573.118
2021-01-13 00:00:00,1.32,1.44,1.261,1.413,414266.43
2021-01-14 00:00:00,1.415,1.449,1.336,1.437,379986.653
2021-01-15 00:00:00,1.44,1.604,1.385,1.558,1061485.806
2021-01-16 00:00:00,1.564,1.78,1.508,1.534,1489608.089
2021-01-17 00:00:00,1.536,1.78,1.385,1.729,1996189.352
2021-01-18 00:00:00,1.729,1.847,1.63,1.728,1055865.119
2021-01-19 00:00:00,1.73,1.98,1.675,1.823,1366605.88
2021-01-20 00:00:00,1.83,1.93,1.604,1.751,1007583.935
2021-01-21 00:00:00,1.758,1.764,1.45,1.469,1036035.604
2021-01-22 00:00:00,1.469,1.7,1.394,1.611,1038598.427
2021-01-23 00:00:00,1.612,1.836,1.598,1.825,1256640.185
2021-01-24 00:00:00,1.825,1.838,1.657,1.777,804428.411
2021-01-25 00:00:00,1.777,2.222,1.77,2.1,3286416.315
2021-01-26 00:00:00,2.097,2.298,1.839,2.038,2148590.9
2021-01-27 00:00:00,2.035,2.153,1.833,2.075,1398068.658
2021-01-28 00:00:00,2.075,2.61,2.029,2.488,2565424.298
2021-01-29 00:00:00,2.482,2.507,2.032,2.311,1521351.394
2021-01-30 00:00:00,2.311,2.388,2.159,2.343,840339.603
2021-01-31 00:00:00,2.344,2.61,2.216,2.263,1266605.874
2021-02-01 00:00:00,2.263,2.604,2.16,2.369,1161419.039
2021-02-02 00:00:00,2.367,2.486,2.291,2.363,586271.334
2021-02-03 00:00:00,2.363,2.747,2.333,2.639,865689.096
2021-02-04 00:00:00,2.638,2.931,2.466,2.796,1445849.557
2021-02-05 00:00:00,2.795,3.194,2.775,3.144,990663.01
2021-02-06 00:00:00,3.15,3.992,2.77,3.636,2974315.117
2021-02-07 00:00:00,3.658,3.99,3.145,3.41,1687270.655
2021-02-08 00:00:00,3.41,3.98,3.2,3.717,1349366.69
2021-02-09 00:00:00,3.718,4.196,3.595,3.943,1374551.99
2021-02-10 00:00:00,3.954,4.199,3.34,3.684,1377785.734
2021-02-11 00:00:00,3.689,4.38,3.575,4.075,1252544.241
2021-02-12 00:00:00,4.083,4.92,3.854,4.587,1639206.088
2021-02-13 00:00:00,4.597,4.85,4.089,4.389,841376.504
2021-02-14 00:00:00,4.403,5.18,4.1,4.59,1731101.01
2021-02-15 00:00:00,4.591,5.0,3.703,3.976,2074591.144
2021-02-16 00:00:00,3.979,4.751,3.772,4.161,1738717.567
2021-02-17 00:00:00,4.162,4.305,3.813,4.101,903959.471
2021-02-18 00:00:00,4.099,4.346,3.941,4.21,1192871.86
2021-02-19 00:00:00,4.21,4.73,4.034,4.579,2251211.179
2021-02-20 00:00:00,4.565,4.6,3.839,4.111,1033277.28
2021-02-21 00:00:00,4.11,4.349,3.982,4.21,463748.938
2021-02-22 00:00:00,4.205,4.209,2.834,3.632,1121379.522
2021-02-23 00:00:00,3.632,3.7,2.412,3.283,1681723.351
2021-02-24 00:00:00,3.279,3.664,3.056,3.639,865856.789
2021-02-25 00:00:00,3.639,4.245,3.581,3.664,1188192.12
2021-02-26 00:00:00,3.664,4.25,3.4,3.954,1112678.534
2021-02-27 00:00:00,3.954,4.139,3.775,3.857,476453.665
2021-02-28 00:00:00,3.857,4.35,3.51,4.21,1382285.923
2021-03-01 00:00:00,4.199,4.42,4.08,4.215,664926.405
2021-03-02 00:00:00,4.225,4.28,3.9,4.058,845020.704
2021-03-03 00:00:00,4.059,4.32,3.946,4.176,526624.764
2021-03-04 00:00:00,4.174,4.499,4.044,4.234,819167.233
2021-03-05 00:00:00,4.235,4.297,3.696,4.019,809095.043
2021-03-06 00:00:00,4.023,4.129,3.902,4.08,232212.944
2021-03-07 00:00:00,4.091,4.389,4.084,4.292,531750.467
2021-03-08 00:00:00,4.292,4.76,4.222,4.579,913231.139
2021-03-09 00:00:00,4.58,4.998,4.499,4.777,774633.329
2021-03-10 00:00:00,4.787,6.711,4.424,6.508,3011985.274
2021-03-11 00:00:00,6.518,8.0,6.329,6.342,5841489.504
2021-03-12 00:00:00,6.344,6.537,5.791,5.964,1935804.592
2021-03-13 00:00:00,5.978,7.235,5.664,6.982,1837189.078
2021-03-14 00:00:00,6.982,7.649,6.474,6.474,1621670.536
2021-03-15 00:00:00,6.492,6.813,6.025,6.462,1246716.481
2021-03-16 00:00:00,6.474,7.99,6.431,7.109,1773425.126
2021-03-17 00:00:00,7.107,7.79,6.625,7.616,1352847.735
2021-03-18 00:00:00,7.607,8.198,7.019,7.494,859045.09
2021-03-19 00:00:00,7.501,9.32,7.124,8.915,2194316.939
2021-03-20 00:00:00,8.898,9.697,8.284,8.337,1347661.683
2021-03-21 00:00:00,8.333,9.766,8.12,9.574,1079492.746
2021-03-22 00:00:00,9.574,10.0,8.73,8.816,1228771.33
2021-03-23 00:00:00,8.84,9.266,7.882,8.01,1039420.611
2021-03-24 00:00:00,8.014,8.65,6.794,7.028,957654.275
2021-03-25 00:00:00,7.028,7.36,6.545,7.099,882003.955
2021-03-26 00:00:00,7.084,8.7,7.084,8.26,1074840.812
2021-03-27 00:00:00,8.277,11.846,8.003,10.585,2696119.639
2021-03-28 00:00:00,10.559,12.09,9.821,10.196,1648229.199
2021-03-29 00:00:00,10.182,10.825,9.807,10.291,1057075.719
2021-03-30 00:00:00,10.325,10.71,9.9,10.037,547345.958
2021-03-31 00:00:00,10.042,10.821,9.011,10.493,1007719.062
2021-04-01 00:00:00,10.493,13.375,10.282,13.215,2130965.984
2021-04-02 00:00:00,13.215,15.199,12.577,13.527,3417441.348
2021-04-03 00:00:00,13.525,17.484,13.356,15.234,2646977.402
2021-04-04 00:00:00,15.201,18.8,14.868,16.59,2038745.975
2021-04-05 00:00:00,16.616,17.0,15.26,15.564,872083.652
2021-04-06 00:00:00,15.585,20.9,15.0,18.429,3865990.845
2021-04-07 00:00:00,18.466,21.5,16.534,16.566,2931523.79
2021-04-08 00:00:00,16.581,18.38,16.385,16.919,1227226.091
2021-04-09 00:00:00,16.919,17.873,16.08,16.094,778572.134
2021-04-10 00:00:00,16.123,19.559,15.288,17.226,2484590.727
2021-04-11 00:00:00,17.2,17.498,16.08,17.054,1116709.355
2021-04-12 00:00:00,17.089,18.022,15.957,16.23,640229.378
2021-04-13 00:00:00,16.23,16.537,15.527,16.095,567189.673
2021-04-14 00:00:00,16.095,16.265,13.5,15.307,946439.087
2021-04-15 00:00:00,15.328,15.95,14.666,15.318,702185.738
2021-04-16 00:00:00,15.315,15.663,13.8,14.795,744216.347
2021-04-17 00:00:00,14.795,15.5,14.304,15.356,519471.397
2021-04-18 00:00:00,15.396,17.0,9.0,16.112,2542116.866
2021-04-19 00:00:00,16.157,16.8,12.535,12.84,1566050.772
2021-04-20 00:00:00,12.804,13.943,11.364,13.035,1455402.332
2021-04-21 00:00:00,13.035,13.574,11.743,12.573,1212126.224
2021-04-22 00:00:00,12.585,13.99,11.76,12.1,1392254.106
2021-04-23 00:00:00,12.1,14.8,11.002,14.215,1966348.431
2021-04-24 00:00:00,14.215,14.428,12.467,12.832,868743.52
2021-04-25 00:00:00,12.883,13.89,12.59,13.476,555967.958
2021-04-26 00:00:00,13.476,15.185,13.301,15.076,901529.405
2021-04-27 00:00:00,15.087,17.947,15.036,17.775,1105996.367
2021-04-28 00:00:00,17.829,18.795,16.873,17.205,1043419.263
2021-04-29 00:00:00,17.203,17.475,15.889,16.477,623395.84
2021-04-30 00:00:00,16.477,17.626,16.211,16.984,452579.625
2021-05-01 00:00:00,16.987,17.349,16.304,17.058,398992.2
2021-05-02 00:00:00,17.065,19.95,16.5,18.414,1336362.992
2021-05-03 00:00:00,18.416,19.51,18.03,18.261,628650.523
2021-05-04 00:00:00,18.26,19.196,16.478,16.656,834736.345
2021-05-05 00:00:00,16.714,18.58,16.531,18.297,668253.778
2021-05-06 00:00:00,18.322,19.2,17.231,17.396,739799.203
2021-05-07 00:00:00,17.393,18.449,16.814,17.538,441413.652
2021-05-08 00:00:00,17.523,18.5,17.18,17.209,485646.232
2021-05-09 00:00:00,17.197,18.319,16.251,16.798,563484.008
2021-05-10 00:00:00,16.797,18.888,15.666,16.171,1069659.099
2021-05-11 00:00:00,16.139,17.5,15.715,17.03,441041.759
2021-05-12 00:00:00,17.028,17.348,14.408,14.495,406600.261
2021-05-13 00:00:00,14.495,16.998,13.654,15.043,799587.709
2021-05-14 00:00:00,15.018,16.028,14.621,15.569,459505.478
2021-05-15 00:00:00,15.515,15.689,14.351,14.43,388961.781
2021-05-16 00:00:00,14.429,15.445,13.375,14.192,410659.934
2021-05-17 00:00:00,14.192,14.932,12.326,14.351,519065.489
2021-05-18 00:00:00,14.35,17.664,14.205,16.656,1319663.633
2021-05-19 00:00:00,16.625,19.25,8.3,12.305,1895970.3
2021-05-20 00:00:00,12.247,13.7,10.512,13.391,1016700.15
2021-05-21 00:00:00,13.39,16.614,12.107,13.945,1982205.107
2021-05-22 00:00:00,13.914,14.05,11.702,12.069,1310033.087
2021-05-23 00:00:00,12.078,12.653,8.41,11.302,978332.003
2021-05-24 00:00:00,11.329,15.16,11.329,13.563,1478856.959
2021-05-25 00:00:00,13.528,14.978,12.544,14.011,833419.719
2021-05-26 00:00:00,14.026,15.75,13.816,15.491,775201.747
2021-05-27 00:00:00,15.5,18.0,13.886,17.998,1032760.393
2021-05-28 00:00:00,17.953,23.9,15.0,19.598,5179707.927
2021-05-29 00:00:00,19.665,20.8,15.116,16.139,2799452.097
2021-05-30 00:00:00,16.2,17.386,14.684,15.7,1524030.255
2021-05-31 00:00:00,15.666,16.63,14.922,16.245,875502.075
2021-06-01 00:00:00,16.2,16.7,15.065,15.242,617903.515
2021-06-02 00:00:00,15.265,16.35,14.7,15.576,802693.725
2021-06-03 00:00:00,15.575,16.1,15.058,15.65,807777.017
2021-06-04 00:00:00,15.65,15.66,14.093,14.868,670480.507
2021-06-05 00:00:00,14.851,15.124,13.711,14.131,368628.025
2021-06-06 00:00:00,14.135,14.9,13.934,14.643,208517.122
2021-06-07 00:00:00,14.674,14.69,12.685,12.876,421364.187
2021-06-08 00:00:00,12.843,14.724,11.318,13.884,1130803.105
2021-06-09 00:00:00,13.882,15.304,13.133,13.879,1004142.86
2021-06-10 00:00:00,13.879,14.258,12.827,13.161,463655.53
2021-06-11 00:00:00,13.165,14.0,12.679,13.476,364005.199
2021-06-12 00:00:00,13.473,13.555,12.051,12.344,370940.944
2021-06-13 00:00:00,12.379,13.365,12.242,13.313,208801.811
2021-06-14 00:00:00,13.324,13.885,13.073,13.384,281890.948
2021-06-15 00:00:00,13.385,14.064,13.192,13.44,370183.346
2021-06-16 00:00:00,13.423,13.79,12.8,13.205,319823.809
2021-06-17 00:00:00,13.193,14.296,13.037,14.05,1093469.383
2021-06-18 00:00:00,14.033,14.091,12.501,12.783,1317712.042
2021-06-19 00:00:00,12.758,12.996,12.534,12.551,168043.427
2021-06-20 00:00:00,12.579,13.3,12.163,12.609,365891.018
2021-06-21 00:00:00,12.618,13.035,10.427,10.574,787070.606
2021-06-22 00:00:00,10.609,11.74,8.8,10.077,1066868.298
2021-06-23 00:00:00,10.08,12.655,9.62,11.957,1162975.832
2021-06-24 00:00:00,12.015,12.5,11.325,12.393,608480.397
2021-06-25 00:00:00,12.379,12.5,10.877,11.436,660164.733
2021-06-26 00:00:00,11.435,11.646,10.367,11.111,435755.823
2021-06-27 00:00:00,11.094,12.0,10.57,11.551,377695.316
2021-06-28 00:00:00,11.587,12.568,11.258,12.171,591601.869
2021-06-29 00:00:00,12.2,13.45,12.1,12.799,565701.021
2021-06-30 00:00:00,12.784,13.034,12.076,12.748,443487.106
2021-07-01 00:00:00,12.757,13.445,12.264,12.869,485312.784
2021-07-02 00:00:00,12.86,13.019,11.865,12.79,470678.798
2021-07-03 00:00:00,12.791,13.4,12.2,13.354,448582.579
2021-07-04 00:00:00,13.35,14.0,12.765,13.42,426402.308
2021-07-05 00:00:00,13.408,13.697,12.232,12.856,705313.46
2021-07-06 00:00:00,12.861,13.45,12.77,13.071,388303.638
2021-07-07 00:00:00,13.069,13.193,12.5,12.731,325361.815
2021-07-08 00:00:00,12.684,12.967,11.904,12.164,445968.023
2021-07-09 00:00:00,12.148,12.649,11.625,12.516,297631.322
2021-07-10 00:00:00,12.52,13.4,12.351,12.84,856288.973
2021-07-11 00:00:00,12.858,12.995,12.5,12.808,295098.935
2021-07-12 00:00:00,12.825,13.026,12.118,12.589,229578.708
2021-07-13 00:00:00,12.589,12.59,11.86,12.029,221368.713
2021-07-14 00:00:00,12.03,12.07,11.0,11.721,334734.199
2021-07-15 00:00:00,11.73,12.25,10.903,11.052,469440.197
2021-07-16 00:00:00,11.059,11.327,10.311,10.372,359850.364
2021-07-17 00:00:00,10.374,11.097,10.206,10.707,367272.559
2021-07-18 00:00:00,10.711,11.918,10.69,10.993,632275.136
2021-07-19 00:00:00,10.983,11.079,9.891,9.93,722606.22
2021-07-20 00:00:00,9.953,10.183,9.305,9.707,465256.259
2021-07-21 00:00:00,9.697,11.201,9.5,10.798,623152.258
2021-07-22 00:00:00,10.798,11.5,10.655,10.992,392340.332
2021-07-23 00:00:00,10.996,12.0,10.815,11.151,717976.114
2021-07-24 00:00:00,11.15,11.743,10.901,11.273,518521.058
2021-07-25 00:00:00,11.283,12.629,11.181,11.966,703727.469
2021-07-26 00:00:00,11.978,12.796,11.238,11.359,1097828.0
2021-07-27 00:00:00,11.346,12.011,10.957,11.526,547274.188
2021-07-28 00:00:00,11.537,13.0,11.2,12.85,1042536.68
2021-07-29 00:00:00,12.875,13.2,12.1,12.374,583124.267
2021-07-30 00:00:00,12.377,14.497,11.833,14.21,1172918.148
2021-07-31 00:00:00,14.222,15.141,13.589,13.793,1148676.347
2021-08-01 00:00:00,13.802,14.435,13.0,13.08,650456.127
2021-08-02 00:00:00,13.097,13.55,12.901,13.51,449651.3
2021-08-03 00:00:00,13.491,13.762,12.71,13.141,506190.968
2021-08-04 00:00:00,13.15,13.587,12.851,13.258,349744.053
2021-08-05 00:00:00,13.262,13.75,12.694,13.2,642979.586
2021-08-06 00:00:00,13.205,14.126,13.125,13.757,646449.347
2021-08-07 00:00:00,13.801,14.365,13.306,13.807,571773.282
2021-08-08 00:00:00,13.821,14.949,13.519,14.331,1006461.06
2021-08-09 00:00:00,14.359,15.761,13.835,14.473,1017167.621
2021-08-10 00:00:00,14.469,18.53,14.034,18.419,2934549.195
2021-08-11 00:00:00,18.419,19.8,16.0,16.418,2392493.463
2021-08-12 00:00:00,16.442,17.046,15.153,15.949,869543.587
2021-08-13 00:00:00,15.929,17.32,15.866,17.049,592269.714
2021-08-14 00:00:00,17.049,17.354,15.962,16.554,660623.01
2021-08-15 00:00:00,16.554,18.65,16.376,18.025,1329343.486
2021-08-16 00:00:00,18.026,19.437,17.886,17.937,1063446.918
2021-08-17 00:00:00,17.933,23.569,17.3,19.969,3226205.395
2021-08-18 00:00:00,19.962,21.088,18.309,19.567,1903859.332
2021-08-19 00:00:00,19.572,22.301,19.11,21.139,1668354.424
2021-08-20 00:00:00,21.14,25.505,20.466,24.257,2566202.607
2021-08-21 00:00:00,24.267,24.276,22.503,22.998,1052366.036
2021-08-22 00:00:00,22.968,25.193,22.322,23.649,1234723.695
2021-08-23 00:00:00,23.641,26.73,23.276,26.372,1499824.838
2021-08-24 00:00:00,26.364,26.444,22.02,22.656,1188097.133
2021-08-25 00:00:00,22.659,23.71,21.111,23.285,945601.67
2021-08-26 00:00:00,23.248,23.5,19.75,20.58,971762.772
2021-08-27 00:00:00,20.56,23.11,19.5,22.79,1023450.493
2021-08-28 00:00:00,22.76,24.61,21.91,23.58,1002871.047
2021-08-29 00:00:00,23.55,23.74,22.04,22.63,456804.58
2021-08-30 00:00:00,22.61,22.79,20.47,20.63,719734.1
2021-08-31 00:00:00,20.66,25.2,20.37,24.83,1181687.028
2021-09-01 00:00:00,24.8,24.96,22.39,23.29,932034.67
2021-09-02 00:00:00,23.31,23.66,22.23,22.67,447680.98
2021-09-03 00:00:00,22.7,23.8,22.3,22.9,429814.56
2021-09-04 00:00:00,22.94,24.17,22.82,23.05,386613.8
2021-09-05 00:00:00,23.05,24.19,22.66,23.79,549231.61
2021-09-06 00:00:00,23.8,25.28,23.0,24.27,733623.669
2021-09-07 00:00:00,24.29,24.53,17.01,20.48,1610913.04
2021-09-08 00:00:00,20.49,21.09,18.03,20.75,647649.04
2021-09-09 00:00:00,20.75,22.44,20.05,21.15,607449.12
2021-09-10 00:00:00,21.15,21.44,19.01,19.88,625589.44
2021-09-11 00:00:00,19.88,21.4,19.77,20.13,444801.97
2021-09-12 00:00:00,20.14,22.31,19.72,21.38,786521.49
2021-09-13 00:00:00,21.35,21.54,18.84,19.62,748248.24
2021-09-14 00:00:00,19.62,20.66,19.34,20.59,274169.66
2021-09-15 00:00:00,20.58,20.9,19.94,20.48,388611.17
2021-09-16 00:00:00,20.48,20.81,19.66,20.27,377086.37
2021-09-17 00:00:00,20.25,20.4,19.12,19.58,293761.72
2021-09-18 00:00:00,19.61,20.57,19.4,20.54,334905.16
2021-09-19 00:00:00,20.52,20.57,19.4,19.76,197121.02
2021-09-20 00:00:00,19.75,19.8,16.5,18.19,727014.563
2021-09-21 00:00:00,18.17,19.77,16.5,16.81,803279.21
2021-09-22 00:00:00,16.8,19.1,16.51,18.79,439525.18
2021-09-23 00:00:00,18.81,19.4,18.09,18.64,401491.5
2021-09-24 00:00:00,18.64,18.72,16.21,17.61,527279.388
2021-09-25 00:00:00,17.61,18.01,17.18,17.54,287396.64
2021-09-26 00:00:00,17.54,18.44,16.63,18.04,379378.39
2021-09-27 00:00:00,18.05,18.84,17.45,17.52,427079.57
2021-09-28 00:00:00,17.51,17.89,16.73,16.94,246862.16
2021-09-29 00:00:00,16.93,17.96,16.5,16.97,589171.5
2021-09-30 00:00:00,16.94,17.68,16.81,17.29,644333.59
2021-10-01 00:00:00,17.32,18.62,17.04,18.58,439288.58
2021-10-02 00:00:00,18.56,19.32,18.31,18.69,303425.0
2021-10-03 00:00:00,18.66,22.16,18.28,21.49,1379045.87
2021-10-04 00:00:00,21.49,21.83,19.6,20.83,785182.93
2021-10-05 00:00:00,20.85,22.87,20.28,21.7,690346.36
2021-10-06 00:00:00,21.69,22.07,20.05,21.58,438715.15
2021-10-07 00:00:00,21.57,21.72,20.27,20.44,492236.0
2021-10-08 00:00:00,20.46,20.94,19.98,20.08,254505.58
2021-10-09 00:00:00,20.14,20.36,19.76,20.09,174674.2
2021-10-10 00:00:00,20.1,20.1,18.96,19.1,266380.59
2021-10-11 00:00:00,19.09,20.2,18.58,19.06,352025.28
2021-10-12 00:00:00,19.04,19.38,18.01,19.16,319965.97
2021-10-13 00:00:00,19.16,19.48,18.69,19.43,218491.77
2021-10-14 00:00:00,19.43,20.33,19.25,20.12,353499.46
2021-10-15 00:00:00,20.14,22.77,20.0,21.08,783369.32
2021-10-16 00:00:00,21.11,21.96,20.6,21.82,296648.54
2021-10-17 00:00:00,21.81,22.43,21.07,21.74,277112.02
2021-10-18 00:00:00,21.75,23.1,21.0,21.19,570214.89
2021-10-19 00:00:00,21.19,22.19,21.02,22.12,221925.14
2021-10-20 00:00:00,22.14,22.97,21.99,22.57,429996.6
2021-10-21 00:00:00,22.57,22.88,21.42,21.74,529297.25
2021-10-22 00:00:00,21.74,22.1,20.69,21.41,472182.49
2021-10-23 00:00:00,21.44,21.49,20.86,21.33,173295.92
2021-10-24 00:00:00,21.33,21.7,20.51,20.97,222725.91
2021-10-25 00:00:00,20.96,21.87,20.86,21.42,237794.37
2021-10-26 00:00:00,21.41,25.61,21.29,24.16,1514733.748
2021-10-27 00:00:00,24.2,26.25,22.02,25.65,1655370.072
2021-10-28 00:00:00,25.62,28.32,24.8,26.68,1280296.853
2021-10-29 00:00:00,26.68,29.8,26.01,27.96,880572.96
2021-10-30 00:00:00,27.94,32.07,27.8,30.48,974643.572
2021-10-31 00:00:00,30.48,31.19,28.11,29.01,438324.2
2021-11-01 00:00:00,29.01,29.66,27.28,28.28,513012.39
2021-11-02 00:00:00,28.29,29.5,28.02,28.61,431771.45
2021-11-03 00:00:00,28.61,28.84,26.52,28.79,547916.18
