Timestamp,Open,High,Low,Close,Volume
2020-07-13 00:00:00,10.0,10.24,9.44,9.68,30832.2
2020-07-14 00:00:00,9.6,9.88,9.38,9.73,12428.8
2020-07-15 00:00:00,9.8,9.8,9.37,9.56,18491.7
2020-07-16 00:00:00,9.56,9.62,8.65,9.04,48436.77
2020-07-17 00:00:00,8.98,9.08,8.84,8.91,17554.58
2020-07-18 00:00:00,8.9,9.29,8.87,9.16,14124.31
2020-07-19 00:00:00,9.18,9.57,8.96,9.54,9133.46
2020-07-20 00:00:00,9.52,9.57,9.06,9.2,15879.11
2020-07-21 00:00:00,9.24,10.32,9.24,10.19,40951.77
2020-07-22 00:00:00,10.15,12.95,9.74,12.28,228929.19
2020-07-23 00:00:00,12.27,13.97,11.83,13.41,201994.85
2020-07-24 00:00:00,13.42,14.85,12.68,13.85,136512.53
2020-07-25 00:00:00,13.88,17.49,13.88,16.94,148622.82
2020-07-26 00:00:00,16.94,19.0,15.98,17.54,211944.81
2020-07-27 00:00:00,17.61,20.53,17.52,18.83,360312.1
2020-07-28 00:00:00,18.87,19.55,16.72,18.1,154527.06
2020-07-29 00:00:00,18.25,18.92,17.6,18.14,111660.36
2020-07-30 00:00:00,18.15,20.57,17.78,19.79,163639.45
2020-07-31 00:00:00,19.88,21.44,19.19,21.09,397705.0
2020-08-01 00:00:00,21.15,26.49,20.86,25.65,209908.88
2020-08-02 00:00:00,25.65,29.5,17.7,22.51,891536.51
2020-08-03 00:00:00,22.56,25.15,22.0,23.93,123513.16
2020-08-04 00:00:00,23.98,25.5,23.37,24.09,96009.36
2020-08-05 00:00:00,24.09,25.94,23.6,25.25,146620.14
2020-08-06 00:00:00,25.38,25.61,24.26,24.58,88746.65
2020-08-07 00:00:00,24.5,25.09,20.35,22.19,130876.5
2020-08-08 00:00:00,22.19,24.2,21.95,24.2,50178.95
2020-08-09 00:00:00,24.14,24.62,22.7,23.4,54882.06
2020-08-10 00:00:00,23.4,24.49,22.87,23.93,54383.32
2020-08-11 00:00:00,23.93,24.29,21.14,22.39,78658.28
2020-08-12 00:00:00,22.39,23.17,20.82,23.0,54788.06
2020-08-13 00:00:00,23.0,27.44,21.99,26.54,171335.89
2020-08-14 00:00:00,26.7,28.911,26.02,28.09,103035.38
2020-08-15 00:00:00,28.1,28.738,26.625,27.34,45896.85
2020-08-16 00:00:00,27.2,27.8,25.001,27.38,48411.32
2020-08-17 00:00:00,27.379,28.952,25.84,26.9,69210.37
2020-08-18 00:00:00,26.802,27.4,25.01,26.007,33206.7
2020-08-19 00:00:00,26.033,26.4,22.38,23.602,55778.44
2020-08-20 00:00:00,23.8,24.909,23.25,24.51,35228.15
2020-08-21 00:00:00,24.54,24.929,21.16,21.527,44276.87
2020-08-22 00:00:00,21.659,22.4,20.794,22.343,37176.59
2020-08-23 00:00:00,22.499,22.5,20.98,21.87,22733.66
2020-08-24 00:00:00,21.87,23.9,21.6,23.775,32116.2
2020-08-25 00:00:00,23.769,23.769,19.52,20.99,62025.97
