Timestamp,Open,High,Low,Close,Volume
2023-11-14 00:00:00,0.004861,0.009388,0.004861,0.007416,12464411523.0
2023-11-15 00:00:00,0.007428,0.007935,0.00702,0.007534,3945330027.0
2023-11-16 00:00:00,0.007553,0.010305,0.00715,0.008828,7860671252.0
2023-11-17 00:00:00,0.008826,0.0103,0.007526,0.00817,4228445818.0
2023-11-18 00:00:00,0.00817,0.0085,0.007567,0.008446,1771522320.0
2023-11-19 00:00:00,0.008442,0.009451,0.008052,0.009223,2761137756.0
2023-11-20 00:00:00,0.009209,0.009632,0.00854,0.008792,2362174111.0
2023-11-21 00:00:00,0.008792,0.008986,0.0076,0.007644,1500782702.0
2023-11-22 00:00:00,0.007645,0.009,0.007521,0.008694,1039817473.0
2023-11-23 00:00:00,0.0087,0.009026,0.00825,0.008429,691813185.0
2023-11-24 00:00:00,0.008417,0.00875,0.00823,0.008443,674782418.0
2023-11-25 00:00:00,0.008443,0.009116,0.008394,0.009058,948107975.0
2023-11-26 00:00:00,0.009059,0.0104,0.00887,0.00955,3071824736.0
2023-11-27 00:00:00,0.00955,0.009561,0.0084,0.008692,1088975607.0
2023-11-28 00:00:00,0.008692,0.00955,0.008434,0.009271,931973098.0
2023-11-29 00:00:00,0.009274,0.009687,0.008816,0.009139,613241169.0
2023-11-30 00:00:00,0.009139,0.009546,0.008798,0.009508,627006248.0
2023-12-01 00:00:00,0.009513,0.011543,0.009265,0.011116,2693381665.0
2023-12-02 00:00:00,0.011123,0.012088,0.010998,0.01136,2277256839.0
2023-12-03 00:00:00,0.011364,0.013461,0.011283,0.012501,2242630880.0
2023-12-04 00:00:00,0.01251,0.014,0.011,0.012932,1705117935.0
2023-12-05 00:00:00,0.012936,0.01495,0.01172,0.014092,1632199783.0
2023-12-06 00:00:00,0.014092,0.016722,0.01365,0.015488,3363071800.0
2023-12-07 00:00:00,0.015478,0.0175,0.015015,0.015215,1958527122.0
2023-12-08 00:00:00,0.015222,0.016,0.0142,0.015413,1127740071.0
2023-12-09 00:00:00,0.015413,0.01955,0.015202,0.017334,2752353652.0
