Timestamp,Open,High,Low,Close,Volume
2020-12-29 00:00:00,0.00125,0.3,0.00125,0.023487,7019924147.0
2020-12-30 00:00:00,0.023403,0.0254,0.010879,0.0114,3225931573.0
2020-12-31 00:00:00,0.0114,0.016769,0.010778,0.013626,1930441867.0
2021-01-01 00:00:00,0.013627,0.015797,0.011555,0.012224,1094437719.0
2021-01-02 00:00:00,0.012228,0.013736,0.0109,0.011317,858056705.0
2021-01-03 00:00:00,0.011325,0.0119,0.009028,0.009871,678332202.0
2021-01-04 00:00:00,0.009925,0.011065,0.009032,0.010121,567924408.0
2021-01-05 00:00:00,0.010116,0.0117,0.00925,0.010981,548550420.0
2021-01-06 00:00:00,0.011062,0.011597,0.010046,0.010334,362429698.0
2021-01-07 00:00:00,0.01034,0.01075,0.00975,0.009998,392689474.0
2021-01-08 00:00:00,0.009998,0.01023,0.009198,0.009481,289334004.0
2021-01-09 00:00:00,0.009494,0.0105,0.00935,0.009838,275820343.0
2021-01-10 00:00:00,0.009897,0.01101,0.0092,0.009856,314175762.0
2021-01-11 00:00:00,0.009854,0.009938,0.007502,0.008153,314241503.0
2021-01-12 00:00:00,0.008155,0.008333,0.006815,0.007055,539720388.0
2021-01-13 00:00:00,0.007055,0.0082,0.006516,0.007908,485703221.0
2021-01-14 00:00:00,0.007908,0.009982,0.007772,0.009416,631919316.0
2021-01-15 00:00:00,0.00945,0.01328,0.00886,0.012635,1721861860.0
2021-01-16 00:00:00,0.012669,0.01888,0.010621,0.016,1509072795.0
2021-01-17 00:00:00,0.016,0.020999,0.01465,0.017351,1972956337.0
2021-01-18 00:00:00,0.017394,0.018899,0.015513,0.016686,616224675.0
2021-01-19 00:00:00,0.016648,0.017599,0.014913,0.0166,635256006.0
2021-01-20 00:00:00,0.0166,0.021956,0.015655,0.02151,1411564252.0
2021-01-21 00:00:00,0.021511,0.023,0.019,0.021202,1178668715.0
2021-01-22 00:00:00,0.021202,0.026209,0.017401,0.021284,1947823969.0
2021-01-23 00:00:00,0.021284,0.0236,0.0195,0.021295,850806610.0
2021-01-24 00:00:00,0.021296,0.0234,0.021,0.021195,570248269.0
2021-01-25 00:00:00,0.021199,0.0238,0.019,0.020073,904706786.0
2021-01-26 00:00:00,0.020071,0.0215,0.01813,0.021101,722012516.0
2021-01-27 00:00:00,0.021157,0.022501,0.017429,0.018255,811225785.0
2021-01-28 00:00:00,0.018255,0.02075,0.01775,0.019601,951857341.0
2021-01-29 00:00:00,0.0196,0.019815,0.016858,0.018384,921225468.0
2021-01-30 00:00:00,0.018361,0.021121,0.017895,0.020574,879493120.0
2021-01-31 00:00:00,0.020575,0.021989,0.019041,0.019853,763479197.0
2021-02-01 00:00:00,0.019829,0.0225,0.018901,0.021781,764838565.0
2021-02-02 00:00:00,0.021781,0.02696,0.021661,0.025379,2325605845.0
2021-02-03 00:00:00,0.025379,0.031,0.024199,0.029892,1809703251.0
2021-02-04 00:00:00,0.029876,0.03071,0.0254,0.027779,1635000904.0
2021-02-05 00:00:00,0.027822,0.032,0.027,0.030194,1660127241.0
2021-02-06 00:00:00,0.030195,0.03025,0.02602,0.028129,1512285048.0
2021-02-07 00:00:00,0.028159,0.028503,0.02293,0.026176,1607191060.0
2021-02-08 00:00:00,0.026155,0.033258,0.025306,0.030402,2437815663.0
2021-02-09 00:00:00,0.030434,0.035,0.0299,0.034371,2237799572.0
2021-02-10 00:00:00,0.034381,0.04,0.03,0.037573,3147837156.0
2021-02-11 00:00:00,0.037573,0.0565,0.035,0.043508,6241473802.0
2021-02-12 00:00:00,0.043501,0.0489,0.038876,0.046186,4328566474.0
2021-02-13 00:00:00,0.0462,0.053552,0.0446,0.049601,4721948157.0
2021-02-14 00:00:00,0.049601,0.052941,0.041785,0.046398,3999848053.0
2021-02-15 00:00:00,0.046286,0.0478,0.035819,0.039441,4684206665.0
2021-02-16 00:00:00,0.03944,0.046129,0.036803,0.037508,3961308744.0
2021-02-17 00:00:00,0.037481,0.0433,0.037201,0.040082,3064801906.0
2021-02-18 00:00:00,0.039924,0.043875,0.03957,0.041726,2855212617.0
2021-02-19 00:00:00,0.041716,0.0432,0.035303,0.037357,3293009094.0
2021-02-20 00:00:00,0.037374,0.0409,0.033403,0.035169,3275146690.0
2021-02-21 00:00:00,0.035146,0.039875,0.034703,0.038499,2426555995.0
2021-02-22 00:00:00,0.038454,0.04378,0.029465,0.038248,5426092518.0
2021-02-23 00:00:00,0.038243,0.038388,0.0245,0.030397,3725663576.0
2021-02-24 00:00:00,0.030397,0.036628,0.028,0.033516,2985468604.0
2021-02-25 00:00:00,0.033534,0.0378,0.031301,0.03161,2679365982.0
2021-02-26 00:00:00,0.03165,0.032942,0.028184,0.030572,1872108785.0
2021-02-27 00:00:00,0.030544,0.03296,0.03005,0.031434,1375076369.0
2021-02-28 00:00:00,0.031485,0.031822,0.026,0.028291,1446633505.0
2021-03-01 00:00:00,0.028252,0.0325,0.028161,0.032225,1390520761.0
2021-03-02 00:00:00,0.032284,0.034659,0.029758,0.032711,2370309089.0
2021-03-03 00:00:00,0.032682,0.039759,0.032071,0.03753,3227350751.0
2021-03-04 00:00:00,0.03752,0.0434,0.036112,0.041173,3525491055.0
2021-03-05 00:00:00,0.041189,0.0412,0.0372,0.039,2079408366.0
2021-03-06 00:00:00,0.038999,0.04215,0.03645,0.038725,1770580267.0
2021-03-07 00:00:00,0.038766,0.040666,0.037,0.038086,1208611077.0
2021-03-08 00:00:00,0.038178,0.039,0.03583,0.036654,1555423547.0
2021-03-09 00:00:00,0.036655,0.0399,0.0361,0.0387,2173293583.0
2021-03-10 00:00:00,0.038696,0.039233,0.0339,0.035384,2108523804.0
2021-03-11 00:00:00,0.035389,0.038996,0.034522,0.036786,2203958029.0
2021-03-12 00:00:00,0.036789,0.04946,0.036,0.046297,8322991691.0
2021-03-13 00:00:00,0.04629,0.05447,0.044006,0.048872,5728588704.0
2021-03-14 00:00:00,0.048876,0.052241,0.045245,0.049533,2750701052.0
2021-03-15 00:00:00,0.049614,0.058701,0.038484,0.040116,10414027724.0
2021-03-16 00:00:00,0.040152,0.043692,0.0371,0.038997,3646410983.0
2021-03-17 00:00:00,0.03899,0.040786,0.037005,0.039518,2046620413.0
2021-03-18 00:00:00,0.039518,0.040569,0.038043,0.039201,2079875699.0
2021-03-19 00:00:00,0.039201,0.042583,0.0382,0.04034,1953139214.0
2021-03-20 00:00:00,0.04034,0.043888,0.04001,0.040604,1524001957.0
2021-03-21 00:00:00,0.040647,0.04129,0.0385,0.039428,1061838032.0
2021-03-22 00:00:00,0.039391,0.040086,0.034044,0.035943,1493380465.0
