Timestamp,Open,High,Low,Close,Volume
2020-12-11 00:00:00,10.0,10.322,8.564,8.57,13160.32
2020-12-12 00:00:00,8.57,10.796,8.57,9.736,36116.26
2020-12-13 00:00:00,9.774,12.921,9.305,12.322,56595.27
2020-12-14 00:00:00,12.212,12.665,10.659,11.346,55910.07
2020-12-15 00:00:00,11.346,12.442,10.6,10.725,50074.06
2020-12-16 00:00:00,10.4,15.162,9.777,14.938,95907.41
2020-12-17 00:00:00,15.2,17.549,12.162,13.629,118768.11
2020-12-18 00:00:00,13.596,14.242,12.286,13.486,60156.49
2020-12-19 00:00:00,13.486,13.888,12.399,12.83,15509.75
2020-12-20 00:00:00,12.782,12.927,11.262,11.821,32413.46
2020-12-21 00:00:00,11.511,12.5,9.0,10.103,21094.59
2020-12-22 00:00:00,9.859,10.185,7.97,9.152,80030.77
2020-12-23 00:00:00,9.152,9.152,4.645,5.954,77727.93
2020-12-24 00:00:00,6.022,10.551,5.765,9.581,193594.38
2020-12-25 00:00:00,9.685,11.05,7.912,8.533,119488.05
2020-12-26 00:00:00,8.533,8.951,7.281,7.91,88418.24
2020-12-27 00:00:00,7.91,9.085,6.2,7.508,133696.13
2020-12-28 00:00:00,7.664,8.967,7.1,7.516,69433.32
2020-12-29 00:00:00,7.556,8.159,5.333,6.267,86112.62
2020-12-30 00:00:00,6.317,6.439,5.48,5.774,70640.76
2020-12-31 00:00:00,5.744,5.842,4.963,5.39,119191.9
2021-01-01 00:00:00,5.353,6.297,5.353,5.699,122293.79
2021-01-02 00:00:00,5.614,5.868,5.251,5.37,51508.51
2021-01-03 00:00:00,5.335,6.209,5.044,5.92,136676.57
2021-01-04 00:00:00,6.061,8.547,5.262,8.203,618371.34
2021-01-05 00:00:00,8.212,13.484,6.709,11.423,642482.48
2021-01-06 00:00:00,11.699,46.313,11.249,36.209,2325444.94
2021-01-07 00:00:00,36.374,50.618,24.475,29.186,649430.82
2021-01-08 00:00:00,29.302,31.917,19.735,25.796,482186.95
2021-01-09 00:00:00,25.796,31.009,22.351,27.526,256300.71
2021-01-10 00:00:00,27.542,30.6,17.41,21.594,236169.23
2021-01-11 00:00:00,21.49,21.5,9.475,16.621,573737.7
2021-01-12 00:00:00,16.651,22.242,14.35,17.496,552263.56
2021-01-13 00:00:00,17.4,21.362,16.522,20.283,263602.92
2021-01-14 00:00:00,20.505,23.331,17.48,19.644,290139.89
2021-01-15 00:00:00,19.748,21.38,12.488,16.278,237292.96
2021-01-16 00:00:00,16.5,20.624,15.253,17.336,308350.65
2021-01-17 00:00:00,17.337,21.0,16.811,18.813,246732.04
2021-01-18 00:00:00,18.958,19.455,17.6,19.0,118769.06
2021-01-19 00:00:00,19.0,20.8,16.458,17.074,259734.1
2021-01-20 00:00:00,17.074,17.62,13.698,16.288,153498.67
2021-01-21 00:00:00,16.35,16.492,9.43,10.476,245149.06
2021-01-22 00:00:00,10.507,11.69,7.301,10.775,315915.6
2021-01-23 00:00:00,10.769,11.588,10.326,10.877,117269.22
2021-01-24 00:00:00,10.817,11.88,10.201,10.879,83083.79
2021-01-25 00:00:00,10.88,11.4,9.997,10.078,150718.51
2021-01-26 00:00:00,10.051,10.4,9.0,10.045,161201.44
2021-01-27 00:00:00,10.07,10.149,7.6,8.255,116966.79
2021-01-28 00:00:00,8.177,13.755,7.73,12.843,829501.44
2021-01-29 00:00:00,12.885,21.36,10.907,11.47,1685628.32
2021-01-30 00:00:00,11.47,18.55,10.044,14.923,1153756.58
2021-01-31 00:00:00,14.875,15.914,10.937,12.382,737697.58
2021-02-01 00:00:00,12.388,18.45,10.815,13.753,1743994.93
2021-02-02 00:00:00,13.795,16.6,13.162,15.292,676430.49
2021-02-03 00:00:00,15.292,16.312,14.182,15.851,556656.36
2021-02-04 00:00:00,15.86,16.276,11.664,13.248,594112.63
2021-02-05 00:00:00,13.273,17.348,13.086,15.894,606697.85
2021-02-06 00:00:00,15.884,20.884,13.886,18.647,792365.83
2021-02-07 00:00:00,18.647,23.541,16.9,19.397,1131658.13
2021-02-08 00:00:00,19.536,21.399,18.092,20.564,553703.7
2021-02-09 00:00:00,20.551,21.512,18.234,20.54,351412.98
2021-02-10 00:00:00,20.598,25.967,16.908,21.962,540849.19
2021-02-11 00:00:00,21.858,28.95,21.097,26.911,534317.58
2021-02-12 00:00:00,26.903,36.919,23.67,35.656,397539.09
2021-02-13 00:00:00,35.841,46.0,31.066,39.416,505641.07
2021-02-14 00:00:00,39.377,41.271,28.31,31.404,240377.58
2021-02-15 00:00:00,31.567,34.658,15.14,27.325,400770.87
2021-02-16 00:00:00,27.639,31.129,23.702,26.229,175729.02
2021-02-17 00:00:00,26.229,29.774,22.0,27.861,151907.27
2021-02-18 00:00:00,27.827,30.211,25.424,27.129,122376.85
2021-02-19 00:00:00,27.126,30.656,25.245,29.114,150491.2
2021-02-20 00:00:00,28.941,31.606,20.649,24.839,222957.24
2021-02-21 00:00:00,24.805,27.759,23.323,26.064,82257.01
2021-02-22 00:00:00,26.081,30.268,10.428,19.086,956911.45
2021-02-23 00:00:00,19.14,19.25,6.006,10.964,1339359.27
2021-02-24 00:00:00,10.963,14.037,9.79,12.138,498353.86
2021-02-25 00:00:00,12.124,13.637,10.15,10.405,310752.58
2021-02-26 00:00:00,10.475,11.8,8.559,11.676,818482.11
2021-02-27 00:00:00,11.677,16.606,11.6,14.223,680285.06
2021-02-28 00:00:00,14.299,15.103,10.444,12.1,385601.43
2021-03-01 00:00:00,12.126,14.007,11.762,13.667,316054.87
2021-03-02 00:00:00,13.689,14.05,11.111,12.944,389639.75
2021-03-03 00:00:00,12.88,14.346,12.473,13.058,240087.58
2021-03-04 00:00:00,13.049,13.5,11.7,12.423,225808.44
2021-03-05 00:00:00,12.448,12.513,10.704,11.989,180587.97
2021-03-06 00:00:00,12.02,12.264,11.04,11.731,116815.64
2021-03-07 00:00:00,11.764,13.222,11.764,12.509,235821.05
2021-03-08 00:00:00,12.468,12.998,11.843,12.805,239319.43
2021-03-09 00:00:00,12.791,13.7,12.444,13.4,296474.39
2021-03-10 00:00:00,13.425,13.485,11.992,12.062,349385.52
2021-03-11 00:00:00,12.031,12.257,11.251,11.812,160114.56
2021-03-12 00:00:00,11.799,11.894,10.0,10.6,149574.13
2021-03-13 00:00:00,10.621,12.094,9.92,11.701,197000.6
2021-03-14 00:00:00,11.7,11.846,10.492,10.55,155764.21
2021-03-15 00:00:00,10.513,11.167,9.177,10.17,161449.48
