Timestamp,Open,High,Low,Close,Volume
2020-09-04 00:00:00,0.1778,0.2158,0.1773,0.1955,3775401.98
2020-09-05 00:00:00,0.1942,0.2012,0.138,0.147,2646812.94
2020-09-06 00:00:00,0.147,0.1677,0.1379,0.1587,2251866.42
2020-09-07 00:00:00,0.1587,0.1665,0.1404,0.1553,2262711.82
2020-09-08 00:00:00,0.1554,0.1658,0.1456,0.1541,1892906.28
2020-09-09 00:00:00,0.1528,0.1668,0.1496,0.1616,852672.02
2020-09-10 00:00:00,0.162,0.192,0.1601,0.185,7783909.56
2020-09-11 00:00:00,0.184,0.1863,0.1681,0.1802,2860647.31
2020-09-12 00:00:00,0.1803,0.1819,0.1708,0.1736,1125451.23
2020-09-13 00:00:00,0.173,0.1806,0.1583,0.1586,1532789.83
2020-09-14 00:00:00,0.1583,0.1645,0.1557,0.1581,828544.46
2020-09-15 00:00:00,0.1581,0.1587,0.1441,0.1454,1027353.01
2020-09-16 00:00:00,0.1441,0.145,0.1354,0.1358,943790.73
2020-09-17 00:00:00,0.1358,0.1401,0.1322,0.1368,649793.71
2020-09-18 00:00:00,0.1368,0.1471,0.1351,0.1413,1396104.2
2020-09-19 00:00:00,0.1413,0.1511,0.1394,0.1433,859873.18
2020-09-20 00:00:00,0.1429,0.144,0.1356,0.137,355124.88
2020-09-21 00:00:00,0.1367,0.1393,0.1209,0.1234,788306.73
2020-09-22 00:00:00,0.123,0.1249,0.1188,0.1238,613650.75
2020-09-23 00:00:00,0.1239,0.1275,0.1201,0.1209,611371.33
2020-09-24 00:00:00,0.1217,0.1291,0.1209,0.1288,292812.51
2020-09-25 00:00:00,0.1289,0.1313,0.1243,0.1306,736120.57
2020-09-26 00:00:00,0.1311,0.1376,0.1296,0.133,470467.44
2020-09-27 00:00:00,0.134,0.1367,0.1279,0.1298,340339.78
2020-09-28 00:00:00,0.1297,0.131,0.122,0.1225,371136.93
2020-09-29 00:00:00,0.1226,0.1237,0.117,0.12,589693.6
2020-09-30 00:00:00,0.1201,0.1214,0.1174,0.1214,335745.18
2020-10-01 00:00:00,0.1206,0.1249,0.1145,0.116,986547.71
2020-10-02 00:00:00,0.1152,0.1164,0.1099,0.1108,454655.74
2020-10-03 00:00:00,0.1107,0.1137,0.1096,0.1113,396231.79
2020-10-04 00:00:00,0.1111,0.1111,0.1093,0.1098,220147.73
2020-10-05 00:00:00,0.1102,0.1121,0.109,0.11,212612.42
2020-10-06 00:00:00,0.1096,0.1117,0.1023,0.1025,426674.71
2020-10-07 00:00:00,0.1025,0.1025,0.0994,0.1018,373467.73
2020-10-08 00:00:00,0.102,0.104,0.0977,0.1022,452699.64
2020-10-09 00:00:00,0.1022,0.1125,0.1021,0.1117,1192792.0
2020-10-10 00:00:00,0.1117,0.1127,0.1069,0.107,997999.47
2020-10-11 00:00:00,0.1076,0.109,0.1059,0.1079,139727.06
2020-10-12 00:00:00,0.1074,0.1165,0.1053,0.1055,816715.65
2020-10-13 00:00:00,0.1054,0.1066,0.1009,0.1035,571590.87
2020-10-14 00:00:00,0.1033,0.1109,0.0996,0.1086,925104.26
2020-10-15 00:00:00,0.1085,0.134,0.105,0.1171,6016497.35
2020-10-16 00:00:00,0.1174,0.1181,0.1005,0.101,1379411.52
2020-10-17 00:00:00,0.1009,0.1038,0.1004,0.1015,382467.57
2020-10-18 00:00:00,0.1018,0.11,0.1012,0.1052,999429.53
2020-10-19 00:00:00,0.1054,0.1062,0.102,0.1027,603067.0
2020-10-20 00:00:00,0.1027,0.1034,0.0968,0.1014,631886.11
2020-10-21 00:00:00,0.1017,0.1394,0.0973,0.0979,10742140.86
2020-10-22 00:00:00,0.0983,0.1013,0.0972,0.0973,1090813.65
2020-10-23 00:00:00,0.0973,0.1004,0.0945,0.0967,1238281.61
2020-10-24 00:00:00,0.0967,0.102,0.0958,0.0997,1108922.86
2020-10-25 00:00:00,0.0997,0.12,0.0973,0.0974,4547456.78
2020-10-26 00:00:00,0.0974,0.0974,0.0895,0.0905,2398171.07
2020-10-27 00:00:00,0.0905,0.0916,0.085,0.0884,2142520.36
2020-10-28 00:00:00,0.0885,0.0894,0.0778,0.0781,3164281.15
2020-10-29 00:00:00,0.0782,0.0815,0.0754,0.0763,1986174.61
2020-10-30 00:00:00,0.0763,0.0772,0.0723,0.0748,1617954.65
2020-10-31 00:00:00,0.0749,0.0815,0.0745,0.078,2061208.01
2020-11-01 00:00:00,0.0779,0.0782,0.0737,0.075,1149859.22
2020-11-02 00:00:00,0.075,0.0762,0.0729,0.0739,822792.61
2020-11-03 00:00:00,0.0738,0.0738,0.0696,0.0698,822936.61
2020-11-04 00:00:00,0.0699,0.0722,0.0693,0.0708,1583808.62
2020-11-05 00:00:00,0.0709,0.0729,0.068,0.0702,2149966.13
2020-11-06 00:00:00,0.0702,0.0766,0.0665,0.0737,4437391.13
2020-11-07 00:00:00,0.0738,0.0804,0.067,0.0699,3816262.0
2020-11-08 00:00:00,0.0698,0.0739,0.0696,0.0733,1191577.05
2020-11-09 00:00:00,0.0733,0.0737,0.0693,0.0712,1855334.62
2020-11-10 00:00:00,0.0712,0.0776,0.0711,0.0775,2797415.34
2020-11-11 00:00:00,0.0773,0.0786,0.0735,0.0736,1574179.16
2020-11-12 00:00:00,0.0736,0.0762,0.0718,0.0757,1228508.6
2020-11-13 00:00:00,0.0757,0.0798,0.0755,0.0779,2475902.0
2020-11-14 00:00:00,0.078,0.0907,0.0777,0.0903,5246825.29
2020-11-15 00:00:00,0.0902,0.0906,0.08,0.0825,3114582.52
2020-11-16 00:00:00,0.0824,0.088,0.0815,0.0827,2842926.23
2020-11-17 00:00:00,0.0826,0.0864,0.0819,0.0863,2679435.73
2020-11-18 00:00:00,0.0863,0.0866,0.0742,0.0759,2528076.22
2020-11-19 00:00:00,0.076,0.0781,0.0738,0.0741,1456588.55
2020-11-20 00:00:00,0.0741,0.0786,0.0741,0.0774,1110146.33
2020-11-21 00:00:00,0.0774,0.0866,0.0759,0.0838,2871185.83
2020-11-22 00:00:00,0.0837,0.1094,0.0785,0.0838,9789970.56
2020-11-23 00:00:00,0.0837,0.0874,0.0812,0.0855,3732598.25
2020-11-24 00:00:00,0.0854,0.087,0.0752,0.0819,5017209.55
2020-11-25 00:00:00,0.0819,0.0872,0.0799,0.083,3446225.44
2020-11-26 00:00:00,0.0829,0.0952,0.073,0.0788,13406924.69
2020-11-27 00:00:00,0.0789,0.0837,0.0755,0.0801,3736571.41
2020-11-28 00:00:00,0.0801,0.0842,0.0795,0.0828,1889220.03
2020-11-29 00:00:00,0.0827,0.0828,0.079,0.0809,2314714.14
2020-11-30 00:00:00,0.0807,0.0823,0.0763,0.0784,3445450.6
2020-12-01 00:00:00,0.0785,0.0845,0.0753,0.0766,6424214.99
2020-12-02 00:00:00,0.0765,0.0793,0.0753,0.0787,3215677.06
2020-12-03 00:00:00,0.0788,0.0814,0.0778,0.0807,3579850.98
2020-12-04 00:00:00,0.0806,0.0817,0.075,0.0752,2957320.82
2020-12-05 00:00:00,0.0753,0.0851,0.0746,0.0791,6035886.98
2020-12-06 00:00:00,0.079,0.0794,0.077,0.0778,2327982.95
2020-12-07 00:00:00,0.0778,0.079,0.0756,0.078,2886038.26
2020-12-08 00:00:00,0.078,0.0889,0.0754,0.0823,9611310.09
2020-12-09 00:00:00,0.0823,0.109,0.0816,0.091,34703625.92
2020-12-10 00:00:00,0.091,0.0914,0.0837,0.085,6004821.89
2020-12-11 00:00:00,0.0851,0.0852,0.0785,0.0804,3324208.68
2020-12-12 00:00:00,0.0805,0.0848,0.0802,0.0835,3561115.29
2020-12-13 00:00:00,0.0835,0.0852,0.0814,0.0816,2216256.14
2020-12-14 00:00:00,0.0815,0.0817,0.0785,0.08,2374550.52
2020-12-15 00:00:00,0.0799,0.081,0.0788,0.0797,2389977.91
2020-12-16 00:00:00,0.0797,0.0831,0.0772,0.0796,3809001.92
2020-12-17 00:00:00,0.0796,0.0826,0.0776,0.0805,4280048.94
2020-12-18 00:00:00,0.0806,0.0836,0.0785,0.0828,3328703.88
2020-12-19 00:00:00,0.0827,0.0867,0.0809,0.0855,4191331.19
2020-12-20 00:00:00,0.0855,0.1963,0.0834,0.0991,152680242.94
2020-12-21 00:00:00,0.0992,0.1077,0.0794,0.0812,25840265.42
2020-12-22 00:00:00,0.0812,0.084,0.0765,0.0784,8819456.72
2020-12-23 00:00:00,0.0784,0.0789,0.06,0.0624,8795134.92
2020-12-24 00:00:00,0.0624,0.072,0.0616,0.0684,7504308.39
2020-12-25 00:00:00,0.0684,0.0703,0.0622,0.065,7986922.47
2020-12-26 00:00:00,0.065,0.0658,0.0605,0.0629,4807851.44
2020-12-27 00:00:00,0.0628,0.0729,0.0604,0.0667,9836682.87
2020-12-28 00:00:00,0.067,0.0827,0.063,0.0639,23383381.35
2020-12-29 00:00:00,0.0637,0.0648,0.06,0.0631,6777171.53
2020-12-30 00:00:00,0.0636,0.065,0.0592,0.061,5091205.5
2020-12-31 00:00:00,0.0607,0.0619,0.0587,0.0609,2726275.22
2021-01-01 00:00:00,0.0609,0.0648,0.0605,0.0619,3768475.84
2021-01-02 00:00:00,0.0619,0.0646,0.0605,0.0621,2684562.64
2021-01-03 00:00:00,0.062,0.0639,0.0601,0.0626,2993030.75
2021-01-04 00:00:00,0.0626,0.0953,0.0578,0.06,49212289.79
2021-01-05 00:00:00,0.0603,0.0701,0.058,0.0633,15760065.55
2021-01-06 00:00:00,0.0634,0.07,0.0624,0.0662,8532935.81
2021-01-07 00:00:00,0.0664,0.0695,0.063,0.0663,10487456.71
2021-01-08 00:00:00,0.0662,0.0666,0.062,0.0659,5960605.83
2021-01-09 00:00:00,0.0659,0.077,0.0655,0.0727,12927825.58
2021-01-10 00:00:00,0.0725,0.0769,0.0673,0.0704,12335678.62
2021-01-11 00:00:00,0.0704,0.0704,0.0606,0.0649,7938890.14
2021-01-12 00:00:00,0.0649,0.0667,0.0626,0.0645,3183220.0
2021-01-13 00:00:00,0.0644,0.0671,0.0629,0.0669,4983559.8
2021-01-14 00:00:00,0.0668,0.0706,0.0661,0.0679,4588623.21
2021-01-15 00:00:00,0.068,0.0698,0.063,0.0663,4791240.3
2021-01-16 00:00:00,0.0664,0.0752,0.0663,0.0722,10133701.85
2021-01-17 00:00:00,0.0722,0.0794,0.0691,0.0765,9268831.97
2021-01-18 00:00:00,0.0761,0.0789,0.0744,0.0781,7276412.04
2021-01-19 00:00:00,0.0781,0.0833,0.0771,0.0776,7835226.49
2021-01-20 00:00:00,0.0772,0.078,0.0687,0.0745,8126750.06
2021-01-21 00:00:00,0.0745,0.0781,0.071,0.0714,8706129.53
2021-01-22 00:00:00,0.0714,0.0778,0.068,0.0735,6932903.53
2021-01-23 00:00:00,0.0734,0.0761,0.0721,0.0738,5529009.24
2021-01-24 00:00:00,0.0738,0.0813,0.0737,0.0771,7713720.74
2021-01-25 00:00:00,0.077,0.079,0.0732,0.0737,4709366.87
2021-01-26 00:00:00,0.0734,0.0748,0.07,0.0735,4365602.2
2021-01-27 00:00:00,0.0735,0.0735,0.0662,0.0681,4753407.72
2021-01-28 00:00:00,0.0681,0.072,0.0671,0.071,5545150.1
2021-01-29 00:00:00,0.0714,0.105,0.0709,0.1045,27319544.29
2021-01-30 00:00:00,0.1047,0.14,0.0728,0.0755,67584267.81
2021-01-31 00:00:00,0.0758,0.0765,0.0715,0.0744,9251025.4
2021-02-01 00:00:00,0.0745,0.0779,0.072,0.075,7945766.61
2021-02-02 00:00:00,0.0746,0.0931,0.0741,0.082,20243115.94
2021-02-03 00:00:00,0.0821,0.094,0.0792,0.0841,20445809.88
2021-02-04 00:00:00,0.0841,0.13,0.0823,0.091,41931123.22
2021-02-05 00:00:00,0.091,0.1013,0.0879,0.0986,14631250.63
2021-02-06 00:00:00,0.0986,0.099,0.091,0.0947,9579398.98
2021-02-07 00:00:00,0.0944,0.0974,0.087,0.0919,9327691.95
2021-02-08 00:00:00,0.0919,0.1726,0.0896,0.1443,116915045.94
2021-02-09 00:00:00,0.1443,0.155,0.127,0.1395,30597565.4
2021-02-10 00:00:00,0.1399,0.1431,0.1176,0.1296,18676641.52
2021-02-11 00:00:00,0.1295,0.15,0.126,0.1431,17605213.06
2021-02-12 00:00:00,0.1434,0.155,0.1345,0.1489,17185843.55
2021-02-13 00:00:00,0.1491,0.1639,0.1412,0.1563,16797514.81
2021-02-14 00:00:00,0.1563,0.164,0.138,0.1445,14140306.01
